Time (s),TC1 (C),TC2 (C),TC3 (C),TC4 (C),TC5 (C)
0.0,23.076,23.319,23.861,24.032,24.164
1.0,22.957,23.311,23.834,24.099,24.201
2.0,22.964,23.334,23.858,24.065,24.158
3.0,25.585,23.608,23.881,24.079,24.185
4.0,44.077,27.39,24.31,24.213,24.147
5.0,61.315,33.805,24.87,24.107,24.051
6.0,74.667,41.218,25.718,24.361,24.196
7.0,88.098,48.667,26.411,24.453,24.177
8.0,102.259,56.209,27.104,24.633,24.2
9.0,114.516,63.545,27.813,24.69,24.153
10.0,127.642,70.585,28.339,24.727,24.16
11.0,137.168,77.43,28.955,24.85,24.181
12.0,146.041,83.984,29.571,24.976,24.217
13.0,155.765,90.18,29.978,25.003,24.231
14.0,161.678,96.123,30.527,25.127,24.175
15.0,167.048,101.966,30.97,25.246,24.283
16.0,173.32,107.552,31.465,25.304,24.267
17.0,178.314,113.057,32.012,25.416,24.303
18.0,183.588,118.216,32.332,25.456,24.26
19.0,187.747,123.242,32.888,25.568,24.328
20.0,193.32,128.011,33.113,25.567,24.264
21.0,197.375,132.638,33.629,25.739,24.41
22.0,200.299,136.94,33.954,25.63,24.312
23.0,205.755,141.213,34.339,25.754,24.38
24.0,209.471,145.562,34.688,25.861,24.385
25.0,212.446,149.837,35.131,25.948,24.41
26.0,215.503,153.825,35.4,25.998,24.363
27.0,219.673,157.348,35.705,26.02,24.411
28.0,221.341,160.744,35.948,26.038,24.407
29.0,226.2,164.14,36.443,26.208,24.473
30.0,228.084,167.054,36.719,26.203,24.425
31.0,230.436,169.975,37.138,26.234,24.461
32.0,233.752,172.626,37.44,26.272,24.483
33.0,236.993,175.175,37.655,26.339,24.413
34.0,241.281,177.693,38.025,26.331,24.439
35.0,245.281,180.177,38.393,26.503,24.592
36.0,247.724,182.423,38.621,26.479,24.54
37.0,251.242,184.58,39.007,26.435,24.446
38.0,253.519,186.627,39.295,26.533,24.488
39.0,255.069,188.679,39.705,26.665,24.569
40.0,256.319,190.711,39.899,26.669,24.529
41.0,258.522,192.498,40.369,26.685,24.552
42.0,261.478,194.178,40.678,26.808,24.559
43.0,265.827,195.96,40.923,26.813,24.617
44.0,267.004,197.431,41.258,26.869,24.559
45.0,266.791,199.135,41.629,26.977,24.657
46.0,271.868,200.543,41.993,26.975,24.696
47.0,272.005,201.99,42.204,27.033,24.61
48.0,272.389,203.225,42.572,27.034,24.651
49.0,276.534,204.645,42.916,27.12,24.651
50.0,275.947,205.854,43.201,27.049,24.63
51.0,278.526,207.02,43.454,27.163,24.67
52.0,279.27,208.327,43.902,27.303,24.713
53.0,283.213,209.518,44.211,27.308,24.656
54.0,282.681,210.696,44.564,27.398,24.761
55.0,284.136,211.7,44.856,27.378,24.751
56.0,287.568,212.821,45.269,27.486,24.782
57.0,285.856,213.758,45.52,27.426,24.686
58.0,289.679,214.761,45.943,27.529,24.748
59.0,293.047,215.738,46.303,27.637,24.852
60.0,291.667,216.631,46.665,27.607,24.849
61.0,293.53,217.437,46.927,27.664,24.857
62.0,296.755,218.319,47.274,27.69,24.824
63.0,298.395,219.17,47.616,27.789,24.767
64.0,298.727,219.787,47.944,27.694,24.782
65.0,299.111,220.622,48.338,27.802,24.816
66.0,299.812,221.324,48.674,27.776,24.793
67.0,302.334,222.11,49.056,27.908,24.909
68.0,306.317,222.774,49.402,27.96,24.858
69.0,307.391,223.516,49.705,28.031,24.894
70.0,306.23,224.23,50.093,28.095,24.902
71.0,306.242,224.832,50.436,28.134,24.886
72.0,309.412,225.551,50.809,28.162,24.95
73.0,311.416,226.211,51.206,28.326,24.959
74.0,313.14,226.768,51.572,28.299,24.912
75.0,313.172,227.431,51.926,28.324,24.97
76.0,314.651,228.084,52.261,28.42,25.003
77.0,314.761,228.569,52.63,28.445,24.965
78.0,317.488,229.229,52.904,28.515,25.043
79.0,316.835,229.823,53.281,28.625,24.984
80.0,319.213,230.399,53.717,28.633,25.072
81.0,320.642,230.847,54.088,28.683,25.071
82.0,320.92,231.631,54.502,28.803,25.131
83.0,321.736,232.151,54.859,28.795,25.064
84.0,323.316,232.663,55.121,28.865,25.135
85.0,323.412,233.131,55.439,28.892,25.044
86.0,322.676,233.738,55.852,28.933,25.097
87.0,327.057,234.386,56.239,29.039,25.159
88.0,348.937,245.402,56.595,29.065,25.163
89.0,355.682,247.011,56.948,29.115,25.205
90.0,352.551,247.295,57.367,29.287,25.273
91.0,356.443,251.517,57.661,29.249,25.201
92.0,354.901,250.899,58.091,29.258,25.214
93.0,358.387,251.827,58.423,29.31,25.206
94.0,359.709,251.687,58.818,29.482,25.204
95.0,360.174,250.713,59.154,29.507,25.311
96.0,360.216,254.092,59.41,29.549,25.26
97.0,363.159,255.22,59.886,29.778,25.27
98.0,361.628,250.96,60.267,29.687,25.331
99.0,365.38,253.814,60.635,29.798,25.342
100.0,363.618,252.532,60.964,29.885,25.334
101.0,361.548,252.715,61.363,29.912,25.332
102.0,369.377,257.097,61.789,30.029,25.385
103.0,373.374,255.855,62.136,30.064,25.386
104.0,369.271,255.098,62.463,30.076,25.346
105.0,367.421,253.34,62.867,30.22,25.392
106.0,370.114,259.531,63.262,30.217,25.402
107.0,370.131,257.247,63.562,30.318,25.402
108.0,371.658,257.775,64.036,30.435,25.486
109.0,376.191,255.138,64.285,30.461,25.429
110.0,378.672,259.322,64.753,30.513,25.463
111.0,376.44,261.103,65.165,30.655,25.547
112.0,377.014,261.173,65.603,30.704,25.492
113.0,373.683,260.017,65.907,30.759,25.449
114.0,376.245,261.762,66.257,30.835,25.576
115.0,377.163,260.548,66.781,30.914,25.565
116.0,374.58,263.66,67.073,30.978,25.49
117.0,375.937,262.255,67.544,31.05,25.561
118.0,378.52,264.171,67.945,31.179,25.524
119.0,381.553,265.279,68.358,31.185,25.527
120.0,381.736,261.099,68.728,31.337,25.65
121.0,383.539,267.334,69.24,31.34,25.618
122.0,386.703,263.657,69.614,31.511,25.714
123.0,384.182,263.235,69.907,31.525,25.611
124.0,383.346,264.422,70.35,31.699,25.683
125.0,385.177,266.301,70.75,31.724,25.699
126.0,385.415,267.246,71.2,31.846,25.749
127.0,387.39,265.11,71.579,31.843,25.641
128.0,388.354,266.62,72.009,31.869,25.77
129.0,392.938,269.766,72.383,32.013,25.702
130.0,392.82,269.294,72.81,32.164,25.767
131.0,390.927,271.741,73.141,32.273,25.875
132.0,388.527,269.399,73.489,32.353,25.718
133.0,388.385,271.452,73.877,32.376,25.764
134.0,388.402,270.546,74.275,32.538,25.865
135.0,389.082,270.794,74.728,32.715,25.943
136.0,393.82,272.187,75.043,32.798,25.919
137.0,388.634,272.784,75.366,32.786,25.835
138.0,389.112,273.897,75.868,32.966,25.952
139.0,389.829,273.143,76.321,33.094,25.95
140.0,389.981,273.089,76.629,33.184,25.952
141.0,392.092,274.016,77.007,33.317,25.956
142.0,391.437,274.863,77.388,33.414,26.016
143.0,395.688,276.782,77.761,33.524,25.987
144.0,394.93,277.168,78.12,33.534,25.927
145.0,393.699,276.766,78.475,33.745,25.968
146.0,392.513,276.446,78.816,33.81,26.088
147.0,391.837,275.048,79.166,33.899,26.041
148.0,395.605,275.816,79.615,33.986,26.054
149.0,394.83,279.121,80.018,34.18,26.154
150.0,399.637,280.443,80.395,34.253,26.117
151.0,399.119,280.043,80.759,34.492,26.192
152.0,401.748,280.765,81.167,34.491,26.145
153.0,388.855,270.603,81.438,34.586,26.18
154.0,369.625,263.224,81.439,34.636,26.137
155.0,364.15,260.579,81.335,34.613,26.187
156.0,358.863,257.84,81.248,34.638,26.288
157.0,353.665,254.865,81.037,34.555,26.263
158.0,348.528,251.904,80.94,34.535,26.248
159.0,343.862,249.069,80.792,34.513,26.289
160.0,339.186,246.129,80.733,34.55,26.297
161.0,334.476,243.238,80.641,34.483,26.26
162.0,330.146,240.355,80.503,34.472,26.247
163.0,325.921,237.551,80.448,34.466,26.377
164.0,321.954,234.839,80.402,34.517,26.356
165.0,318.027,232.134,80.328,34.489,26.346
166.0,314.427,229.564,80.32,34.501,26.391
167.0,310.844,227.013,80.287,34.464,26.381
168.0,307.4,224.585,80.234,34.55,26.402
169.0,304.057,222.216,80.26,34.539,26.436
170.0,300.876,219.884,80.248,34.516,26.404
171.0,297.742,217.663,80.195,34.557,26.415
172.0,294.611,215.487,80.296,34.554,26.386
173.0,291.687,213.414,80.264,34.695,26.41
174.0,288.921,211.343,80.243,34.674,26.45
175.0,286.262,209.408,80.327,34.759,26.507
176.0,283.649,207.419,80.336,34.722,26.434
177.0,281.007,205.581,80.346,34.743,26.471
178.0,278.307,203.747,80.365,34.695,26.439
179.0,275.786,201.964,80.475,34.894,26.572
180.0,273.192,200.189,80.453,34.879,26.511
181.0,270.721,198.493,80.531,34.925,26.555
182.0,268.294,196.833,80.585,34.939,26.575
183.0,265.898,195.144,80.598,34.939,26.548
184.0,263.648,193.619,80.692,35.055,26.641
185.0,261.353,192.041,80.704,35.038,26.564
186.0,259.192,190.594,80.772,35.082,26.627
187.0,257.162,189.13,80.812,35.188,26.684
188.0,255.032,187.71,80.902,35.279,26.735
189.0,252.872,186.323,80.904,35.257,26.684
190.0,250.866,185.009,80.99,35.373,26.783
191.0,248.84,183.649,80.981,35.353,26.748
192.0,246.872,182.348,81.056,35.435,26.75
193.0,244.804,181.043,81.062,35.489,26.805
194.0,242.858,179.811,81.156,35.486,26.739
195.0,240.978,178.617,81.198,35.655,26.833
196.0,239.109,177.405,81.283,35.706,26.808
197.0,237.178,176.213,81.262,35.699,26.796
198.0,235.397,175.12,81.296,35.792,26.864
199.0,233.575,173.897,81.299,35.842,26.865
200.0,231.826,172.815,81.377,35.974,26.939
201.0,230.043,171.711,81.354,35.959,26.897
202.0,228.347,170.605,81.388,36.063,26.898
203.0,226.723,169.625,81.469,36.094,26.999
204.0,224.984,168.548,81.476,36.132,26.956
205.0,223.336,167.565,81.51,36.195,26.988
206.0,221.668,166.498,81.484,36.211,26.972
207.0,220.101,165.521,81.588,36.313,26.969
208.0,218.534,164.593,81.544,36.377,27.005
209.0,217.003,163.627,81.618,36.389,27.038
210.0,215.441,162.661,81.571,36.401,27.125
211.0,213.884,161.753,81.598,36.516,27.072
212.0,212.414,160.795,81.668,36.606,27.104
213.0,210.909,159.887,81.619,36.582,27.077
214.0,209.443,159.022,81.607,36.613,27.164
215.0,208.069,158.2,81.646,36.738,27.181
216.0,206.602,157.324,81.663,36.799,27.225
217.0,205.166,156.414,81.657,36.833,27.179
218.0,203.783,155.593,81.663,36.922,27.234
219.0,202.437,154.782,81.71,37.014,27.268
220.0,201.113,154.001,81.681,37.068,27.282
221.0,199.82,153.15,81.683,37.114,27.321
222.0,198.491,152.342,81.63,37.19,27.323
223.0,197.183,151.506,81.653,37.224,27.343
224.0,195.956,150.824,81.585,37.313,27.4
225.0,194.697,149.996,81.591,37.363,27.401
226.0,193.437,149.299,81.642,37.387,27.407
227.0,192.267,148.53,81.621,37.476,27.41
228.0,191.034,147.758,81.621,37.519,27.425
229.0,189.889,147.058,81.618,37.601,27.489
230.0,188.719,146.342,81.608,37.676,27.459
231.0,187.542,145.636,81.603,37.755,27.425
232.0,186.449,145.012,81.57,37.818,27.555
233.0,185.326,144.327,81.581,37.867,27.588
234.0,184.256,143.652,81.558,37.938,27.563
235.0,183.145,142.953,81.51,38.054,27.554
236.0,182.123,142.337,81.568,38.143,27.671
237.0,181.068,141.623,81.475,38.121,27.668
238.0,180.048,140.965,81.488,38.173,27.685
239.0,179.028,140.35,81.424,38.289,27.744
240.0,178.0,139.661,81.392,38.335,27.687
241.0,177.009,139.047,81.424,38.425,27.766
242.0,175.974,138.401,81.354,38.463,27.81
243.0,175.006,137.777,81.358,38.54,27.772
244.0,174.062,137.194,81.346,38.56,27.785
245.0,173.107,136.539,81.265,38.625,27.856
