Time (s),TC1 (C),TC2 (C),TC3 (C),TC4 (C),TC5 (C)
0.00,22.801,22.907,22.876,22.979,22.687
1.01,22.857,22.971,22.927,23.037,22.610
2.00,22.915,22.946,22.938,23.029,22.675
3.00,22.894,22.964,22.947,23.028,22.628
4.00,22.861,22.923,22.954,23.046,22.622
5.00,22.852,22.971,22.968,23.018,22.615
6.00,22.843,22.901,22.940,22.996,22.613
7.00,22.852,22.917,22.927,23.062,22.622
8.00,22.809,22.899,22.922,22.957,22.637
9.00,22.777,22.916,22.907,22.979,22.672
10.00,22.847,22.917,22.999,23.021,22.709
11.00,22.797,22.935,22.929,23.031,22.742
12.00,22.867,22.913,22.953,23.025,22.722
13.00,22.869,22.963,22.972,23.031,22.768
14.00,22.871,22.897,22.961,22.997,22.755
15.00,22.796,22.900,22.927,23.023,22.673
16.00,22.802,22.853,22.937,22.992,22.616
17.00,22.818,22.873,22.950,23.030,22.531
18.00,22.850,22.915,22.966,23.003,22.538
19.00,22.779,22.920,22.911,22.974,22.579
20.00,22.827,22.954,22.959,23.055,22.651
21.00,22.834,22.870,22.929,23.003,22.606
22.00,22.828,22.885,22.915,22.981,22.705
23.00,22.829,22.911,22.902,22.988,22.726
24.00,22.866,22.952,22.968,22.988,22.757
25.00,22.834,22.980,22.959,23.036,22.817
26.00,22.832,22.953,22.938,23.015,22.811
27.00,22.820,22.911,23.007,22.978,22.757
28.00,22.805,22.983,22.943,23.012,22.807
29.00,22.854,22.964,22.961,23.058,22.810
30.00,22.826,22.974,22.934,23.072,22.791
31.00,22.817,22.937,22.939,22.997,22.811
32.00,22.831,22.990,22.981,23.013,22.827
33.00,22.803,22.940,22.933,23.000,22.806
34.00,22.797,22.933,22.989,23.046,22.897
35.00,22.828,22.897,22.925,23.019,23.006
36.00,22.796,22.929,22.905,23.017,23.015
37.00,29.780,30.062,22.969,23.303,22.976
38.00,50.721,42.262,23.282,23.396,22.912
39.00,70.420,54.742,23.552,23.659,22.745
40.00,88.562,67.794,23.971,23.920,22.865
41.00,104.923,80.778,24.389,24.239,22.773
42.01,119.992,92.824,25.003,24.146,22.847
43.00,134.415,103.742,25.424,24.419,22.876
44.00,147.919,114.008,26.016,24.706,22.914
45.00,159.233,123.788,26.476,24.675,23.097
46.00,169.273,133.595,26.851,25.069,23.072
47.00,178.199,143.134,27.355,25.247,23.175
48.00,186.267,151.704,27.868,25.118,23.148
49.00,194.350,159.067,28.320,25.166,23.260
50.00,202.461,166.000,28.816,25.534,23.232
51.00,218.859,172.605,29.127,25.454,23.164
52.00,223.810,178.844,29.538,25.356,23.093
53.00,224.970,184.687,30.077,25.539,23.231
54.00,228.361,190.097,30.339,25.460,23.148
55.00,238.655,195.042,30.711,25.561,23.116
56.00,250.242,199.892,31.122,25.702,23.316
57.00,256.601,204.319,31.476,25.723,23.411
58.00,264.930,210.195,31.930,25.780,23.479
59.00,285.436,219.949,32.248,25.887,23.222
60.00,289.759,223.359,32.651,25.980,23.243
61.00,292.517,226.534,32.923,26.066,23.349
62.00,296.591,229.742,33.237,26.110,23.331
