Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
17,300	26,182	25,712	25,819	25,727	25,926
18,312	26,084	25,626	25,752	25,667	25,865
19,300	26,165	25,655	25,791	25,669	25,877
20,302	26,137	25,613	25,750	25,687	25,875
21,301	26,170	25,649	25,772	25,732	25,879
22,300	26,160	25,642	25,751	25,708	25,900
23,301	26,332	26,268	25,915	26,122	26,364
24,301	462,896	37,073	28,841	32,732	34,834
25,300	1201,898	45,694	31,503	38,858	45,680
26,301	58,371	51,413	33,731	44,142	55,778
27,300	90,628	56,490	35,746	49,236	64,907
28,301	785,659	61,512	37,946	54,326	73,104
29,302	751,903	66,389	40,134	59,408	80,589
30,301	683,547	71,388	42,632	64,612	87,500
31,300	1122,511	76,301	45,161	69,890	93,676
32,304	118,349	81,019	47,932	75,236	99,480
33,301	113,744	85,757	50,695	80,447	104,815
34,301	120,700	90,411	53,597	85,521	109,834
35,301	127,214	94,900	56,524	90,555	114,591
36,302	133,195	99,369	59,516	95,437	118,899
37,301	138,946	103,663	62,540	100,204	123,086
38,301	146,696	107,871	65,554	104,892	126,863
39,302	149,955	112,066	68,667	109,350	130,257
40,300	154,788	115,984	71,747	113,513	133,338
41,301	159,417	119,945	74,935	117,747	136,375
42,300	164,204	123,688	78,037	121,619	139,383
43,301	168,594	127,193	81,180	125,269	142,308
44,301	172,767	130,750	84,319	128,928	145,202
45,302	177,081	134,118	87,437	132,351	147,956
46,302	182,053	137,388	90,500	135,659	150,407
47,301	186,146	140,485	93,547	138,819	152,773
48,301	189,772	143,509	96,708	141,920	155,243
49,301	193,583	146,335	99,740	144,770	157,671
50,300	197,805	149,064	102,827	147,548	160,195
51,302	200,909	151,491	105,780	150,184	162,776
52,300	204,094	153,756	108,681	152,959	164,858
53,301	207,711	156,005	111,646	155,830	167,330
54,300	211,154	158,237	114,579	158,666	169,410
55,302	214,391	160,675	117,403	161,640	171,449
56,301	217,664	163,309	120,147	164,720	173,647
57,301	220,738	166,026	122,730	167,738	175,613
58,302	223,844	169,023	125,368	170,711	177,618
59,302	226,669	171,984	127,997	173,535	179,838
60,300	229,695	174,974	130,706	176,454	182,104
61,301	232,895	177,872	133,266	179,208	184,282
62,301	235,837	180,543	135,814	181,910	186,609
63,301	238,639	183,200	138,237	184,431	188,498
64,301	241,065	185,635	140,485	186,929	189,894
65,302	239,838	187,097	141,584	188,665	187,636
66,301	235,963	187,706	142,983	189,212	182,937
67,302	231,662	187,718	144,377	189,116	178,121
68,300	227,324	187,405	145,572	188,523	173,440
69,301	223,041	186,770	146,526	187,588	169,024
70,301	218,751	185,980	147,307	186,367	165,197
71,301	214,502	184,912	147,720	185,053	161,630
72,300	210,586	183,907	148,242	183,692	158,123
73,300	206,592	182,646	148,532	182,050	154,507
74,303	202,795	181,441	148,817	180,439	151,222
75,301	199,145	180,126	148,941	178,781	147,848
76,300	195,749	178,720	148,993	177,060	144,933
77,301	192,384	177,358	148,943	175,413	142,323
78,302	189,143	175,983	148,835	173,822	139,815
79,302	185,998	174,519	148,614	172,131	137,440
80,302	183,010	173,062	148,086	170,457	135,016
81,303	180,074	171,713	147,716	168,909	132,835
82,302	177,410	170,172	147,266	167,218	130,701
83,303	174,764	168,813	146,765	165,657	128,614
84,301	172,352	167,466	146,229	164,092	126,607
85,301	170,583	166,020	145,405	162,509	124,682
86,302	167,643	164,564	144,680	161,006	122,802
87,302	165,339	163,241	144,129	159,509	121,071
88,300	200,659	161,845	143,508	157,975	119,460
89,302	221,574	160,470	142,820	156,542	117,903
90,300	168,895	159,179	142,128	155,129	116,392
91,302	2106,717	157,803	141,404	153,718	114,951
92,301	2190,947	156,473	140,645	152,294	113,549
93,301	2295,040	155,171	139,925	150,882	111,845
94,303	2295,058	153,947	139,122	149,509	110,387
