Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
580,396	28,164	28,144	28,616	29,060	28,421
581,409	28,073	28,105	28,587	29,074	28,383
582,397	28,071	28,155	28,611	29,053	28,416
583,397	28,016	28,088	28,556	29,003	28,396
584,396	28,044	28,113	28,618	29,030	28,396
585,396	28,120	28,042	28,563	29,043	28,307
586,396	28,256	28,122	28,503	29,021	28,387
587,397	28,195	28,039	28,572	29,004	28,315
588,398	28,134	27,999	28,496	28,989	28,338
589,396	28,177	28,070	28,507	28,982	28,370
590,397	28,160	28,024	28,482	28,971	28,337
591,396	28,198	27,968	28,483	28,935	28,315
592,396	28,140	27,939	28,444	28,912	28,291
593,396	28,118	27,944	28,479	28,945	28,280
594,397	28,111	27,974	28,467	28,929	28,268
595,397	29,214	29,978	29,226	29,311	29,271
596,399	39,862	40,742	33,271	33,600	39,898
597,397	53,549	48,104	35,855	38,721	53,128
598,396	66,880	55,014	38,708	44,405	65,803
599,398	79,201	62,067	41,877	49,578	77,732
600,397	91,255	69,190	45,307	55,856	88,900
601,398	102,745	76,249	49,008	61,922	99,232
602,397	113,161	83,304	52,890	66,373	108,917
603,397	122,450	89,955	56,814	73,810	117,913
604,397	131,730	96,539	60,747	79,370	126,226
605,398	139,902	102,816	64,703	84,592	133,657
606,396	146,400	108,870	68,745	89,754	140,280
607,397	152,514	114,615	72,630	94,773	146,489
608,397	159,188	119,950	76,365	99,447	152,331
609,398	164,528	125,220	80,191	103,386	157,750
610,398	169,813	130,234	83,957	106,822	162,997
611,399	173,966	134,900	87,458	109,055	167,902
612,398	179,524	139,404	91,141	112,516	172,663
613,397	183,888	143,710	94,650	116,741	177,250
614,398	188,256	147,867	98,031	120,892	181,709
615,399	191,604	151,802	101,413	125,008	185,906
616,399	195,888	155,474	104,565	127,838	189,858
617,399	200,213	159,141	107,855	127,366	193,851
618,398	203,798	162,720	110,927	128,475	197,594
619,396	207,128	166,500	114,159	131,536	201,264
620,398	210,279	170,104	117,186	134,234	204,813
621,400	213,299	173,675	120,233	137,071	208,329
622,398	216,199	177,137	123,206	139,721	211,670
623,399	218,883	180,737	126,190	142,369	214,874
624,397	221,856	184,237	128,940	145,056	218,161
625,398	224,432	187,648	131,514	147,611	220,816
626,399	226,979	191,022	133,976	150,058	223,696
627,399	229,311	194,206	136,258	152,447	226,536
628,399	231,594	197,409	138,788	154,814	229,114
629,399	233,492	200,886	141,084	157,076	231,960
630,398	235,675	203,798	143,447	159,364	234,258
631,398	237,905	206,517	145,651	161,593	236,406
632,398	239,921	209,202	147,993	163,769	238,890
633,400	241,766	211,689	150,162	165,829	240,905
634,399	243,514	214,319	152,278	167,852	243,109
635,399	245,337	217,059	154,368	169,918	245,180
636,400	247,127	219,808	156,540	171,865	247,020
637,400	248,247	221,897	158,633	173,734	248,847
638,399	249,897	224,043	160,821	176,116	250,791
639,398	251,285	225,869	162,890	178,037	252,370
640,399	252,580	227,589	164,821	179,331	253,949
641,399	253,379	229,207	166,630	180,876	254,938
642,399	248,832	228,267	167,621	180,822	250,351
643,399	242,242	226,391	168,042	179,697	244,238
644,399	235,648	224,142	168,047	178,144	238,035
645,399	229,268	221,377	167,592	176,004	231,734
646,400	223,071	218,376	167,021	173,345	225,501
647,399	217,182	215,039	166,127	170,673	219,411
648,398	211,502	211,628	165,093	168,012	213,353
649,400	205,744	208,109	163,811	164,785	207,493
650,400	200,358	204,566	162,486	161,830	201,905
651,399	195,202	200,993	161,030	159,127	196,466
652,399	190,198	197,391	159,475	156,428	191,244
653,399	185,476	193,952	157,978	153,898	186,334
654,401	180,850	190,530	156,305	151,282	181,655
655,399	176,453	187,165	154,647	148,905	177,230
656,400	172,431	183,833	152,910	146,614	172,987
657,400	168,605	180,677	151,183	144,585	169,082
658,399	164,851	177,526	149,460	142,468	165,247
659,400	161,329	174,470	147,722	140,417	161,632
660,399	157,968	171,448	145,913	138,859	158,348
661,400	154,669	168,664	144,211	137,414	155,282
662,400	151,609	165,889	142,511	135,582	152,344
663,400	148,655	163,220	140,824	133,793	149,379
664,400	145,890	160,659	139,216	132,064	146,542
665,400	143,302	158,162	137,565	130,342	143,917
666,400	140,685	155,756	135,897	128,641	141,299
667,401	138,262	153,427	134,302	127,010	138,853
668,401	135,902	151,141	132,644	125,377	136,462
669,402	133,715	148,929	131,091	123,893	134,178
670,399	131,575	146,850	129,592	122,429	132,030
671,400	129,508	144,685	128,089	120,944	129,884
672,401	127,509	142,594	126,628	119,489	127,801
673,401	125,579	140,617	125,155	118,120	125,737
674,402	123,606	138,588	123,726	116,744	123,796
675,401	121,947	136,657	122,365	115,456	122,086
676,401	120,160	134,816	121,009	114,105	120,317
677,401	118,444	133,008	119,592	112,829	118,596
678,400	116,799	131,280	118,269	111,548	116,946
679,402	115,199	129,559	116,920	110,374	115,393
680,402	113,665	127,887	115,595	109,194	113,805
681,402	112,198	126,277	114,312	108,008	112,329
682,402	110,725	124,649	113,008	106,857	110,863
683,402	109,378	123,127	111,805	105,715	109,503
684,403	107,974	121,552	110,658	104,641	108,098
685,400	106,703	120,138	109,572	103,631	106,813
686,400	105,407	118,619	108,447	102,556	105,341
687,401	104,183	117,218	107,310	101,539	104,158
688,401	103,018	115,855	106,252	100,577	102,931
689,402	101,777	114,329	105,203	99,451	101,742
690,402	100,724	112,986	104,128	98,276	100,626
691,401	99,555	111,655	103,086	97,119	99,505
692,402	98,548	110,468	102,065	96,247	98,456
693,401	97,555	109,181	100,980	95,306	97,342
694,403	96,604	108,058	100,092	94,536	96,394
695,401	95,633	106,900	99,105	93,646	95,390
696,402	94,640	105,723	98,184	92,888	94,422
697,401	93,706	104,595	97,289	92,099	93,473
698,402	92,899	103,530	96,452	91,347	92,621
699,401	92,003	102,511	95,628	90,565	91,667
700,402	91,149	101,490	94,703	89,876	90,801
701,402	90,326	100,475	93,861	89,040	89,973
702,401	89,476	99,431	92,987	88,230	89,101
703,401	88,749	98,543	92,266	87,639	88,432
704,401	87,926	97,573	91,433	86,958	87,580
705,404	87,232	96,714	90,740	86,283	86,814
706,403	86,468	95,777	89,923	85,651	86,065
707,403	85,764	94,956	89,235	84,976	85,347
708,403	85,073	94,081	88,562	84,459	84,667
709,402	84,389	93,266	87,820	83,858	83,942
710,404	83,673	92,403	87,148	83,149	83,231
711,402	83,065	91,627	86,561	82,592	82,615
712,403	82,418	90,851	85,883	82,044	81,974
713,403	81,852	90,082	85,238	81,471	81,357
714,403	81,121	89,288	84,507	80,903	80,708
715,403	80,505	88,523	83,912	80,374	80,129
716,404	79,932	87,833	83,317	79,910	79,572
717,404	79,332	87,158	82,693	79,308	78,944
718,403	78,769	86,372	82,114	78,746	78,373
719,402	78,234	85,788	81,591	78,340	77,929
720,403	77,679	85,105	81,069	77,872	77,341
721,402	77,076	84,404	80,389	77,308	76,693
722,403	76,530	83,691	79,822	76,800	76,207
723,405	76,090	83,102	79,366	76,426	75,730
724,403	75,550	82,476	78,804	75,920	75,234
725,404	75,046	81,832	78,249	75,481	74,688
726,404	74,590	81,304	77,832	75,083	74,229
727,405	74,104	80,706	77,281	74,646	73,749
728,405	73,573	80,072	76,777	74,253	73,270
729,405	73,121	79,553	76,322	73,832	72,817
730,402	72,710	78,990	75,883	73,458	72,413
731,404	72,173	78,421	75,398	72,990	71,967
732,403	71,665	77,844	74,902	72,575	71,497
733,403	71,302	77,379	74,527	72,248	71,117
734,404	70,798	76,837	73,968	71,829	70,633
735,402	70,448	76,355	73,605	71,486	70,294
736,404	69,983	75,791	73,117	71,108	69,839
737,405	69,617	75,300	72,734	70,716	69,479
738,405	69,217	74,815	72,327	70,334	69,037
739,404	68,854	74,373	71,920	70,002	68,695
