Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
30,895	26,644	27,109	26,967	27,354	26,910
31,896	40,151	43,035	34,299	36,528	41,625
32,896	63,637	56,147	39,528	46,263	64,809
33,896	86,713	67,861	44,374	57,215	86,764
34,895	108,582	79,688	50,051	69,867	107,083
35,896	128,916	91,583	56,075	79,079	125,747
36,896	146,917	103,331	62,511	88,314	141,861
37,895	162,923	114,557	69,280	97,762	156,767
38,895	177,662	125,297	76,142	106,405	170,786
39,896	191,123	135,392	83,025	114,397	185,618
40,896	203,604	144,904	89,609	120,606	200,124
41,896	215,587	154,082	96,216	126,793	211,209
42,896	226,794	162,967	102,902	134,438	222,197
43,895	237,048	171,965	109,398	141,696	232,268
44,896	246,369	181,126	115,871	149,233	241,291
45,896	254,756	190,351	121,840	156,683	249,074
46,896	262,385	199,502	127,652	164,030	256,655
47,896	269,181	208,093	132,762	170,871	263,695
48,897	274,081	214,797	136,613	176,608	268,996
49,895	268,452	215,981	138,408	178,644	264,097
50,896	259,940	215,297	140,859	178,221	256,795
51,896	251,522	213,878	142,600	176,950	249,324
52,895	243,370	211,771	143,895	175,147	241,837
53,895	235,398	209,145	144,534	172,847	234,364
54,896	227,863	206,062	144,739	170,337	227,019
55,896	220,667	202,762	144,603	167,629	219,796
56,895	214,031	199,221	144,154	164,640	212,821
57,895	208,018	195,585	143,549	161,602	205,934
58,895	201,951	191,862	142,654	158,475	199,449
59,895	195,795	188,175	141,614	155,430	193,022
60,894	189,871	184,417	140,441	152,274	186,896
61,897	184,271	180,736	139,149	149,374	181,170
62,896	178,887	177,162	137,851	146,639	175,672
63,895	173,752	173,690	136,476	143,843	170,506
64,895	168,926	170,122	134,946	141,085	165,607
65,896	164,355	166,781	133,473	138,470	160,957
66,896	160,042	163,561	131,948	135,963	156,590
67,894	155,859	160,325	130,340	133,427	152,465
68,896	151,979	157,257	128,897	131,018	148,668
69,895	148,226	154,201	127,272	128,485	144,882
70,895	144,731	151,308	125,719	126,132	141,392
71,896	141,334	148,572	124,116	123,755	138,068
72,895	138,103	145,856	122,510	121,739	134,879
73,897	135,058	143,118	120,986	119,766	131,905
74,895	132,144	140,066	119,458	117,729	129,062
75,895	129,283	137,590	117,974	115,229	126,424
76,895	126,668	135,193	116,457	113,157	124,082
77,896	124,064	132,865	114,958	111,276	121,626
78,894	121,641	130,632	113,497	109,452	119,207
79,894	119,235	128,389	112,034	107,167	116,893
80,895	116,866	126,221	110,546	105,861	114,622
81,895	114,742	124,123	109,184	104,697	112,562
82,895	112,686	122,041	107,816	103,386	110,588
83,894	110,724	120,143	106,449	102,134	108,656
84,896	108,738	118,283	105,128	100,770	106,793
85,895	106,981	116,429	103,812	99,476	105,090
86,895	105,305	114,677	102,519	98,195	103,444
87,895	103,524	112,988	101,284	96,703	101,766
88,896	101,943	111,306	100,115	95,483	100,231
89,895	100,339	109,687	98,882	94,022	98,693
90,895	98,811	108,154	97,740	93,651	97,282
91,895	97,344	106,542	96,549	93,051	95,871
92,895	96,006	105,084	95,430	91,488	94,542
93,895	94,818	103,693	94,427	90,479	93,250
94,895	93,567	102,285	93,309	89,542	91,973
95,894	92,341	100,933	92,280	89,477	90,722
96,894	91,269	99,672	91,266	88,297	89,587
97,895	90,113	98,413	90,252	87,454	88,445
98,895	88,937	97,197	89,288	86,210	87,351
99,896	87,870	95,972	88,354	84,308	86,251
100,894	86,871	94,854	87,445	84,503	85,289
101,895	85,853	93,696	86,519	82,359	84,228
102,895	84,838	92,668	85,465	81,528	83,337
103,895	83,918	91,545	84,512	81,428	82,389
104,895	82,948	90,488	83,733	79,699	81,436
105,894	81,990	89,447	82,876	78,655	80,493
106,894	81,197	88,518	82,123	78,324	79,706
107,895	80,353	87,551	81,289	77,441	78,901
108,895	79,532	86,559	80,481	76,712	78,086
109,896	78,719	85,675	79,668	76,242	77,321
110,894	77,936	84,805	78,965	75,306	76,544
111,895	77,215	83,961	78,326	74,606	75,794
112,895	76,452	83,112	77,614	74,334	75,020
113,896	75,728	82,307	76,942	73,892	74,375
114,894	75,057	81,559	76,277	73,076	73,675
115,896	74,364	80,703	75,502	72,232	72,875
116,894	73,671	79,924	74,897	71,641	72,204
117,894	73,107	79,198	74,339	71,106	71,514
118,895	72,368	78,471	73,703	70,514	70,917
119,896	71,701	77,763	73,160	70,022	70,338
120,895	71,136	77,085	72,585	69,495	69,799
121,894	70,429	76,320	71,981	68,857	69,124
122,894	69,851	75,761	71,473	68,460	68,592
123,896	69,293	75,062	70,903	67,967	68,005
124,894	68,723	74,361	70,400	67,498	67,511
125,894	68,239	73,801	69,926	67,114	67,017
126,893	67,718	73,151	69,350	66,650	66,419
127,895	67,290	72,594	68,968	66,261	65,990
128,896	66,792	72,013	68,402	65,802	65,529
129,893	66,239	71,378	67,872	65,391	65,070
130,896	65,848	70,910	67,491	65,030	64,605
131,895	65,371	70,339	67,023	64,619	64,169
132,894	64,875	69,752	66,484	64,172	63,698
133,896	64,401	69,194	65,983	63,671	63,262
134,895	64,013	68,783	65,656	63,386	62,875
135,895	63,527	68,221	65,159	62,963	62,398
136,894	63,135	67,713	64,732	62,588	62,011
137,895	62,746	67,251	64,409	62,257	61,630
138,896	62,326	66,801	63,940	61,880	61,208
139,894	61,843	66,291	63,500	61,482	60,810
140,894	61,519	65,825	63,190	61,177	60,502
141,894	61,111	65,315	62,743	60,853	60,116
142,895	60,738	64,903	62,375	60,490	59,718
143,894	60,390	64,490	61,989	60,136	59,423
144,894	60,015	64,116	61,666	59,854	59,118
145,895	59,706	63,689	61,333	59,536	58,761
