Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
749,824	29,757	29,831	29,483	32,013	32,302
750,837	29,770	29,820	29,505	31,952	32,309
751,823	29,757	29,814	29,508	31,977	32,361
752,826	29,776	29,760	29,511	31,929	32,270
753,825	29,730	29,727	29,517	31,938	32,301
754,824	29,714	29,795	29,492	31,949	32,286
755,823	29,683	29,754	29,439	31,956	32,251
756,825	29,674	29,777	29,459	31,955	32,207
757,824	29,638	29,761	29,436	31,868	32,181
758,824	29,851	30,216	38,943	32,187	34,943
759,824	30,048	32,343	73,121	34,349	37,783
760,823	30,208	34,541	104,562	37,264	38,088
761,826	30,336	36,414	132,063	40,329	39,207
762,827	30,550	38,282	155,250	43,260	38,526
763,824	30,724	40,043	175,364	46,151	39,026
764,825	30,899	41,751	194,426	49,074	37,831
765,823	31,095	43,168	212,212	51,699	38,289
766,823	31,180	44,598	228,206	54,342	39,451
767,826	31,251	45,941	242,221	56,757	40,037
768,825	31,192	47,163	254,457	59,005	40,865
769,824	31,485	48,360	265,034	61,223	39,017
770,826	31,679	49,528	274,901	63,477	37,640
771,825	31,565	50,057	277,394	65,228	35,547
772,824	31,586	49,070	265,361	65,314	34,197
773,825	31,581	48,067	254,351	64,734	33,906
774,825	31,564	47,228	245,624	64,037	33,862
775,824	31,542	46,484	236,968	63,327	33,858
776,826	31,492	45,866	228,315	62,697	33,798
777,825	31,437	45,299	219,951	62,030	33,814
778,824	31,365	44,871	211,917	61,424	33,726
779,823	31,349	44,453	204,389	60,892	33,675
780,823	31,384	44,086	197,338	60,498	33,638
781,824	31,300	43,719	190,638	60,027	33,638
782,825	31,284	43,445	184,371	59,637	33,630
783,826	31,244	43,198	178,399	59,336	33,616
784,825	31,227	43,010	172,794	59,027	33,627
785,826	31,168	42,821	167,540	58,711	33,541
786,825	31,179	42,713	162,580	58,488	33,558
787,824	31,164	42,553	158,010	58,218	33,568
788,825	31,105	42,379	153,513	57,977	33,451
789,825	31,086	42,250	149,298	57,739	33,468
790,825	31,072	42,134	145,314	57,542	33,471
791,825	31,065	42,018	141,538	57,336	33,490
792,825	31,043	42,003	137,922	57,150	33,468
793,825	31,004	41,861	134,440	56,948	33,510
794,827	31,006	41,832	131,175	56,798	33,410
795,824	30,942	41,766	128,007	56,539	33,386
796,825	30,974	41,759	125,046	56,432	33,435
797,825	30,988	41,713	122,166	56,193	33,357
798,826	30,994	41,601	119,456	55,977	33,420
799,824	30,942	41,583	116,839	55,847	33,432
800,826	30,879	41,471	114,347	55,624	33,393
801,824	30,949	41,456	111,996	55,466	33,418
802,824	30,919	41,421	109,666	55,279	33,427
803,826	30,959	41,391	107,512	55,085	33,441
804,825	30,883	41,344	105,437	54,931	33,419
805,825	30,932	41,344	103,434	54,693	33,439
806,824	30,892	41,348	101,504	54,548	33,470
807,825	30,887	41,238	99,692	54,332	33,522
808,827	30,887	41,285	98,008	54,180	33,534
809,826	30,880	41,163	96,255	53,991	33,502
810,826	30,844	41,157	94,614	53,806	33,476
811,824	30,801	41,108	93,022	53,581	33,518
812,826	30,836	41,019	91,566	53,419	33,469
813,824	30,876	41,070	90,223	53,292	33,634
814,825	30,796	41,053	88,816	53,136	33,567
815,826	30,840	40,959	87,493	52,904	33,548
816,825	30,845	40,968	86,269	52,711	33,622
817,825	30,851	40,899	84,931	52,527	33,582
818,826	30,881	40,884	83,857	52,380	33,632
819,826	30,881	40,872	82,699	52,232	33,635
820,826	30,844	40,838	81,607	52,038	33,717
821,826	30,832	40,763	80,538	51,901	33,706
822,825	30,886	40,788	79,486	51,693	33,700
823,825	30,825	40,723	78,518	51,551	33,727
824,827	30,873	40,730	77,575	51,425	33,746
825,826	30,834	40,639	76,629	51,268	33,743
826,827	30,891	40,627	75,711	51,076	33,791
