Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
27,572	21,127	21,325	22,496	22,910	22,975
28,582	21,173	21,324	22,541	22,947	22,970
29,572	21,213	21,410	22,589	23,022	23,008
30,573	21,188	21,371	22,547	23,019	23,004
31,574	21,745	21,521	22,518	22,997	23,888
32,574	33,806	31,585	23,131	23,014	26,597
33,573	44,182	47,758	23,889	23,116	27,723
34,572	54,617	63,698	24,854	23,167	27,051
35,572	65,225	78,742	25,559	23,236	26,690
36,572	76,506	92,585	26,329	23,319	26,822
37,572	87,508	105,491	27,025	23,396	28,027
38,571	99,188	117,558	27,749	23,452	28,469
39,573	109,975	128,897	28,319	23,548	27,301
40,573	118,149	139,923	28,932	23,660	27,947
41,573	126,579	151,291	29,574	23,652	28,921
42,572	133,517	162,455	30,146	23,749	29,417
43,573	140,747	173,124	30,668	23,775	28,022
44,572	147,416	182,591	31,251	23,812	26,839
45,573	166,211	206,903	31,714	23,908	24,451
46,571	174,909	220,326	32,322	24,023	23,611
47,571	180,015	230,187	32,767	24,104	23,594
48,572	187,948	235,474	33,186	24,078	23,483
49,573	195,039	242,655	33,661	24,196	23,626
50,572	191,637	225,212	33,790	24,181	23,541
51,573	189,875	216,852	33,424	24,182	23,583
52,571	189,668	210,401	32,961	24,106	23,546
53,572	188,635	204,091	32,641	24,134	23,489
54,572	187,294	198,131	32,337	24,117	23,534
55,573	185,259	192,062	32,050	24,036	23,506
56,573	183,218	186,519	31,826	24,013	23,473
57,573	180,896	181,201	31,670	23,938	23,438
58,571	178,364	176,128	31,499	23,953	23,510
59,573	175,798	171,382	31,373	23,929	23,442
60,573	173,229	166,907	31,258	23,951	23,395
61,572	170,558	162,664	31,083	23,881	23,408
62,573	168,053	158,593	31,097	23,861	23,416
63,573	165,490	154,751	30,897	23,867	23,437
64,573	162,836	151,049	30,881	23,750	23,346
65,574	160,334	147,445	30,812	23,769	23,400
66,572	157,821	144,044	30,785	23,786	23,383
67,573	155,326	140,803	30,761	23,798	23,372
68,571	152,899	137,632	30,674	23,721	23,343
69,573	150,457	134,558	30,645	23,677	23,303
70,574	148,129	131,709	30,792	23,727	23,419
71,572	145,766	128,818	30,664	23,689	23,326
72,572	143,465	126,106	30,653	23,682	23,341
73,571	141,259	123,606	30,716	23,702	23,345
74,571	139,061	121,075	30,715	23,645	23,266
75,571	136,932	118,683	30,728	23,689	23,370
76,572	134,793	116,422	30,725	23,668	23,306
77,572	132,611	114,232	30,747	23,698	23,318
78,572	130,738	112,019	30,809	23,648	23,311
79,572	128,841	110,004	30,821	23,654	23,341
80,573	126,957	108,020	30,861	23,650	23,312
81,572	125,131	106,109	30,921	23,685	23,283
82,573	123,254	104,258	30,916	23,704	23,336
83,572	121,562	102,479	30,962	23,647	23,268
84,572	119,947	100,740	30,991	23,711	23,274
85,573	118,367	99,062	31,013	23,665	23,255
86,572	116,834	97,483	31,020	23,614	23,248
87,573	115,255	95,959	31,094	23,624	23,241
88,573	113,688	94,453	31,120	23,638	23,237
89,572	112,201	93,046	31,168	23,680	23,286
90,573	110,678	91,600	31,243	23,666	23,237
91,572	109,269	90,328	31,197	23,659	23,284
92,571	107,798	88,944	31,248	23,688	23,206
93,572	106,343	87,737	31,346	23,669	23,230
94,572	105,033	86,525	31,319	23,646	23,200
95,572	103,637	85,347	31,357	23,678	23,180
