Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
667,726	26,026	26,019	25,513	27,148	27,539
668,742	26,019	26,002	25,498	27,106	27,503
669,726	26,028	25,946	25,709	27,104	27,852
670,727	26,368	26,979	44,164	27,860	29,396
671,727	26,433	28,724	69,896	29,930	29,392
672,727	26,553	30,240	92,329	32,090	29,809
673,726	26,474	31,757	112,376	34,317	29,690
674,726	26,709	33,060	130,605	36,465	29,356
675,727	26,824	34,329	146,371	38,647	29,142
676,726	27,040	35,510	160,516	40,631	30,136
677,727	27,139	36,775	172,912	42,671	30,399
678,726	27,202	37,706	184,725	44,518	30,954
679,727	27,287	38,725	196,608	46,208	30,680
680,728	27,521	39,820	207,472	47,994	30,547
681,727	27,598	40,758	217,832	49,773	31,177
682,727	27,789	41,692	227,316	51,422	31,358
683,725	27,902	42,594	236,403	52,992	30,622
684,727	27,953	43,442	244,946	54,644	31,316
685,727	28,069	44,318	253,085	56,234	31,708
686,726	28,209	45,142	260,850	57,834	31,228
687,727	28,354	46,030	267,957	59,389	31,546
688,725	28,395	46,771	274,472	60,820	32,119
689,726	28,557	47,611	280,796	62,376	32,332
690,728	28,464	47,502	277,219	63,279	30,227
691,725	28,412	46,596	266,096	62,939	30,090
692,727	28,459	45,888	256,077	62,438	30,046
693,726	28,428	45,195	246,535	61,776	30,004
694,726	28,323	44,491	237,534	61,132	29,896
695,727	28,348	43,994	228,948	60,489	29,870
696,725	28,273	43,527	220,682	59,915	29,764
697,727	28,276	43,154	212,908	59,484	29,741
698,727	28,294	42,841	205,458	59,076	29,708
699,728	28,213	42,457	198,459	58,634	29,670
700,726	28,225	42,198	191,891	58,307	29,649
701,726	28,145	41,935	185,552	57,985	29,605
702,726	28,086	41,772	179,669	57,726	29,503
703,726	28,106	41,621	174,167	57,432	29,595
704,727	28,089	41,471	168,971	57,218	29,560
705,727	28,094	41,343	164,095	56,998	29,585
706,726	28,010	41,167	159,405	56,710	29,425
707,726	27,987	41,066	154,999	56,476	29,444
708,726	28,023	40,930	150,828	56,348	29,479
709,727	27,956	40,838	146,807	56,146	29,403
710,726	27,945	40,751	143,084	55,960	29,441
711,727	27,961	40,699	139,400	55,825	29,448
712,726	27,942	40,624	135,940	55,617	29,455
713,726	27,955	40,568	132,609	55,385	29,451
714,726	27,882	40,473	129,468	55,155	29,431
715,726	27,888	40,445	126,494	55,031	29,449
716,728	27,904	40,415	123,638	54,886	29,509
717,725	27,878	40,358	120,864	54,649	29,435
718,727	27,859	40,292	118,253	54,435	29,409
719,727	27,874	40,272	115,776	54,240	29,492
720,726	27,834	40,263	113,409	54,144	29,514
721,727	27,873	40,237	111,213	53,890	29,534
722,726	27,880	40,211	109,034	53,758	29,535
723,727	27,868	40,213	106,882	53,563	29,533
724,726	27,863	40,151	104,875	53,379	29,512
725,726	27,867	40,089	102,984	53,140	29,607
726,726	27,819	40,045	101,087	52,865	29,568
727,725	27,889	40,001	99,375	52,744	29,560
728,727	27,853	39,946	97,592	52,550	29,594
729,726	27,855	39,890	95,960	52,328	29,626
730,725	27,926	39,875	94,397	52,181	29,664
731,726	27,912	39,847	92,882	51,980	29,728
732,727	27,894	39,781	91,422	51,764	29,635
733,728	27,857	39,755	90,010	51,542	29,710
734,727	27,930	39,705	88,744	51,389	29,789
735,727	27,890	39,656	87,382	51,218	29,767
736,726	27,958	39,647	86,156	51,034	29,815
737,726	27,971	39,600	85,002	50,922	29,845
738,725	27,958	39,555	83,809	50,739	29,876
739,725	28,015	39,598	82,772	50,603	29,958
740,726	28,021	39,605	81,721	50,479	29,954
741,727	28,015	39,509	80,611	50,247	29,978
742,725	28,077	39,549	79,653	50,121	30,058
743,725	28,080	39,530	78,646	49,922	30,038
744,725	28,060	39,523	77,759	49,792	30,084
745,726	28,073	39,459	76,836	49,585	30,091
746,727	28,062	39,456	75,996	49,496	30,146
747,726	28,101	39,427	75,112	49,317	30,153
748,726	28,157	39,373	74,368	49,196	30,237
749,725	28,124	39,376	73,531	48,953	30,228
750,726	28,185	39,365	72,702	48,832	30,267
751,726	28,182	39,303	71,960	48,709	30,257
752,726	28,217	39,264	71,273	48,610	30,342
753,726	28,277	39,303	70,560	48,417	30,350
754,726	28,309	39,222	69,903	48,330	30,404
755,726	28,307	39,260	69,257	48,183	30,501
756,726	28,326	39,174	68,564	48,038	30,507
757,724	28,356	39,145	67,916	47,870	30,495
758,726	28,370	39,116	67,299	47,717	30,595
759,726	28,385	39,113	66,798	47,644	30,571
760,726	28,479	39,133	66,202	47,506	30,690
761,727	28,486	39,059	65,566	47,398	30,673
762,726	28,570	39,050	65,156	47,269	30,774
763,727	28,542	38,999	64,530	47,181	30,784
764,726	28,571	38,979	64,014	47,038	30,825
765,727	28,622	38,959	63,439	46,936	30,863
766,724	28,684	38,904	63,013	46,774	30,871
767,725	28,725	38,938	62,587	46,708	31,023
768,727	28,703	38,844	62,098	46,523	30,967
769,726	28,721	38,839	61,620	46,439	31,002
770,725	28,759	38,866	61,211	46,354	31,102
771,725	28,784	38,777	60,776	46,262	31,134
772,726	28,857	38,672	60,322	46,140	31,134
773,726	28,866	38,787	59,939	46,025	31,174
774,726	28,887	38,774	59,556	45,900	31,210
775,725	29,034	38,779	59,136	45,790	31,293
776,727	28,994	38,791	58,773	45,719	31,309
777,726	29,057	38,722	58,366	45,638	31,350
778,725	29,036	38,732	58,012	45,517	31,361
779,725	29,065	38,650	57,573	45,416	31,352
780,726	29,089	38,626	57,267	45,328	31,411
781,724	29,179	38,623	56,886	45,255	31,509
782,725	29,143	38,527	56,518	45,123	31,466
783,726	29,175	38,572	56,285	45,053	31,538
784,725	29,198	38,512	55,913	44,875	31,530
785,725	29,246	38,559	55,623	44,884	31,671
786,726	29,315	38,504	55,277	44,762	31,666
787,727	29,339	38,483	54,993	44,682	31,708
788,726	29,424	38,447	54,699	44,605	31,732
789,726	29,466	38,447	54,446	44,462	31,778
790,725	29,452	38,367	54,117	44,404	31,810
