Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
151,965	27,624	28,443	28,638	29,559	28,693
152,977	27,672	28,392	28,586	29,537	28,662
153,966	27,700	28,448	30,642	29,477	30,973
154,966	28,133	30,770	71,300	31,499	38,870
155,967	28,319	34,059	117,255	35,540	37,256
156,965	28,550	37,047	154,324	39,787	39,452
157,966	28,805	39,785	184,798	43,992	41,481
158,967	29,073	42,347	214,895	48,100	42,225
159,968	29,359	44,884	243,062	51,960	39,687
160,965	29,554	47,170	268,296	55,655	38,588
161,967	29,686	48,903	284,766	59,172	34,329
162,967	29,604	48,000	274,479	60,072	31,142
163,967	29,658	46,869	263,328	59,679	31,002
164,966	29,648	45,911	253,116	59,050	30,994
165,966	29,611	45,017	243,345	58,158	30,844
166,967	29,583	44,228	233,764	57,351	30,776
167,968	29,533	43,506	224,578	56,609	30,703
168,967	29,592	43,038	215,881	56,068	30,766
169,968	29,438	42,425	207,473	55,344	30,567
170,968	29,387	41,973	199,600	54,891	30,538
171,969	29,416	41,650	192,146	54,488	30,560
172,969	29,385	41,326	185,052	54,079	30,480
173,968	29,336	41,025	178,549	53,747	30,408
174,969	29,336	40,782	172,390	53,473	30,442
175,968	29,284	40,554	166,648	53,202	30,412
176,968	29,326	40,405	161,228	52,906	30,329
177,967	29,248	40,159	156,086	52,755	30,329
178,969	29,241	40,032	151,285	52,538	30,323
179,968	29,232	39,880	146,679	52,344	30,279
180,970	29,182	39,785	142,289	52,206	30,264
181,969	29,170	39,707	138,259	52,051	30,183
182,969	29,116	39,634	134,261	51,905	30,234
183,969	29,117	39,492	130,571	51,719	30,217
184,968	29,079	39,435	127,027	51,565	30,232
185,970	29,062	39,402	123,737	51,454	30,239
186,969	29,022	39,311	120,497	51,266	30,219
187,970	29,059	39,196	117,497	51,172	30,249
188,971	29,051	39,093	114,627	50,994	30,160
189,968	29,045	39,114	111,982	50,826	30,188
190,971	29,019	39,074	109,366	50,652	30,169
191,971	29,015	38,969	106,970	50,536	30,229
192,970	29,001	39,011	104,648	50,468	30,237
193,971	29,044	38,952	102,397	50,201	30,202
194,970	29,030	38,940	100,288	50,102	30,254
195,972	28,978	38,860	98,275	49,921	30,199
196,970	28,951	38,806	96,271	49,748	30,161
197,971	28,974	38,834	94,493	49,636	30,237
198,971	28,974	38,748	92,676	49,430	30,274
199,972	28,987	38,750	90,988	49,323	30,303
200,971	28,959	38,737	89,396	49,096	30,272
201,972	28,987	38,732	87,909	49,042	30,322
202,971	28,975	38,718	86,501	48,860	30,306
203,972	29,023	38,603	85,011	48,760	30,260
204,971	28,919	38,593	83,637	48,528	30,283
205,972	28,938	38,512	82,363	48,413	30,329
206,970	28,982	38,550	81,140	48,294	30,374
207,971	28,934	38,496	79,902	48,102	30,360
208,972	29,018	38,478	78,786	48,019	30,485
209,972	28,952	38,452	77,640	47,801	30,422
210,972	29,030	38,420	76,615	47,711	30,455
211,971	29,003	38,342	75,595	47,512	30,428
212,973	29,023	38,303	74,553	47,373	30,419
213,973	29,033	38,263	73,647	47,268	30,519
214,972	28,993	38,288	72,770	47,082	30,473
215,974	29,051	38,227	71,902	47,000	30,518
216,972	29,049	38,232	70,996	46,850	30,518
217,973	29,090	38,231	70,229	46,690	30,567
218,974	29,080	38,151	69,379	46,563	30,554
219,974	29,057	38,200	68,631	46,414	30,572
220,974	29,172	38,174	67,900	46,310	30,624
221,975	29,142	38,154	67,140	46,200	30,635
222,975	29,152	38,139	66,530	46,063	30,710
223,973	29,154	38,117	65,830	45,876	30,684
224,974	29,126	38,055	65,113	45,763	30,666
225,973	29,207	38,063	64,541	45,622	30,752
226,975	29,151	38,005	63,919	45,515	30,783
227,974	29,194	38,031	63,361	45,420	30,809
228,976	29,217	37,917	62,722	45,275	30,785
229,974	29,218	38,006	62,263	45,258	30,888
230,975	29,323	37,954	61,683	45,103	30,898
231,974	29,246	37,874	61,108	44,945	30,984
232,975	29,208	37,816	60,547	44,831	30,911
233,974	29,284	37,881	60,187	44,795	31,001
234,976	29,384	37,880	59,680	44,677	31,030
235,974	29,312	37,839	59,133	44,487	31,056
236,975	29,355	37,786	58,706	44,474	31,070
237,976	29,358	37,724	58,248	44,392	31,157
238,975	29,450	37,748	57,815	44,245	31,183
239,977	29,439	37,671	57,389	44,141	31,151
240,976	29,419	37,660	56,934	43,999	31,189
241,976	29,420	37,579	56,532	43,908	31,220
242,977	29,483	37,586	56,200	43,856	31,282
243,977	29,508	37,527	55,828	43,753	31,225
244,975	29,491	37,547	55,427	43,605	31,295
245,978	29,529	37,515	55,063	43,534	31,334
246,978	29,542	37,484	54,674	43,449	31,326
247,976	29,579	37,512	54,343	43,319	31,387
248,976	29,563	37,473	54,031	43,253	31,358
249,977	29,652	37,422	53,737	43,224	31,482
250,977	29,603	37,360	53,325	43,047	31,452
251,977	29,635	37,364	53,015	42,943	31,455
252,978	29,690	37,375	52,783	42,901	31,557
253,977	29,696	37,321	52,449	42,801	31,504
254,978	29,699	37,311	52,171	42,776	31,540
255,976	29,782	37,278	51,895	42,683	31,577
256,978	29,824	37,287	51,588	42,587	31,626
257,976	29,775	37,258	51,323	42,478	31,662
258,977	29,797	37,169	50,987	42,378	31,630
259,978	29,892	37,235	50,783	42,320	31,699
260,979	29,933	37,149	50,498	42,261	31,711
261,979	29,884	37,110	50,275	42,180	31,721
262,980	29,940	37,134	50,076	42,113	31,821
263,979	29,966	37,144	49,784	42,064	31,807
264,979	29,956	37,081	49,588	41,972	31,807
265,979	29,978	37,027	49,302	41,900	31,798
266,977	29,965	36,974	49,062	41,776	31,792
267,978	30,046	36,979	48,837	41,696	31,840
268,978	30,145	37,057	48,660	41,666	31,951
269,979	30,162	36,967	48,497	41,635	31,962
270,978	30,132	36,928	48,204	41,524	31,983
271,980	30,170	36,934	48,022	41,502	32,024
272,979	30,144	36,826	47,791	41,379	32,037
273,980	30,174	36,880	47,670	41,330	32,047
274,980	30,183	36,841	47,436	41,229	32,076
275,980	30,236	36,803	47,240	41,167	32,112
276,979	30,210	36,753	47,055	41,142	32,079
277,981	30,342	36,751	46,850	41,034	32,203
278,980	30,327	36,742	46,684	40,986	32,196
279,980	30,261	36,661	46,435	40,895	32,241
280,981	30,408	36,772	46,378	40,950	32,319
281,980	30,390	36,687	46,191	40,803	32,282
282,980	30,434	36,642	46,002	40,795	32,303
283,981	30,430	36,625	45,795	40,742	32,311
284,982	30,397	36,585	45,675	40,679	32,363
285,981	30,418	36,551	45,459	40,594	32,354
286,982	30,553	36,551	45,353	40,577	32,396
287,982	30,483	36,486	45,168	40,508	32,444
288,981	30,512	36,459	45,064	40,477	32,408
289,982	30,574	36,461	44,927	40,442	32,498
290,981	30,514	36,403	44,715	40,331	32,482
291,982	30,541	36,420	44,538	40,243	32,519
292,981	30,588	36,348	44,425	40,256	32,511
293,982	30,531	36,233	44,251	40,121	32,525
294,981	30,651	36,299	44,212	40,181	32,560
295,981	30,637	36,291	43,987	40,062	32,613
296,980	30,621	36,258	43,878	39,999	32,637
297,982	30,713	36,217	43,737	39,947	32,563
298,981	30,719	36,167	43,597	39,884	32,604
299,981	30,696	36,143	43,424	39,827	32,654
300,980	30,755	36,155	43,359	39,798	32,670
301,982	30,809	36,172	43,221	39,733	32,711
302,981	30,791	36,097	43,105	39,717	32,732
303,982	30,789	36,042	42,973	39,642	32,727
304,982	30,861	36,104	42,824	39,611	32,852
305,981	30,831	35,986	42,719	39,550	32,755
306,981	30,856	36,015	42,610	39,505	32,800
307,983	30,854	36,036	42,536	39,491	32,826
308,981	30,875	36,013	42,373	39,425	32,889
309,981	30,858	35,936	42,253	39,363	32,870
310,981	30,863	35,948	42,149	39,274	32,864
311,980	30,939	35,906	41,999	39,209	32,891
312,981	30,946	35,859	41,937	39,175	32,886
313,981	30,965	35,883	41,832	39,197	32,957
314,981	30,968	35,836	41,729	39,124	32,940
315,980	30,949	35,769	41,660	39,072	32,988
316,981	30,966	35,695	41,510	39,000	32,929
317,982	31,004	35,666	41,396	38,972	33,025
318,981	31,041	35,679	41,259	38,958	32,968
319,980	30,976	35,636	41,140	38,844	32,968
320,982	31,068	35,627	41,089	38,884	33,083
321,982	31,068	35,647	41,016	38,818	33,043
322,982	31,147	35,597	40,903	38,855	33,095
323,980	31,078	35,571	40,783	38,728	33,105
324,980	31,023	35,517	40,708	38,627	33,093
325,980	31,085	35,553	40,619	38,687	33,123
326,981	31,167	35,442	40,559	38,629	33,221
327,981	31,127	35,516	40,457	38,570	33,162
328,980	31,153	35,434	40,370	38,551	33,179
329,981	31,161	35,429	40,207	38,485	33,165
330,981	31,164	35,416	40,188	38,403	33,169
331,980	31,204	35,331	40,035	38,362	33,194
332,980	31,152	35,362	39,953	38,349	33,157
333,982	31,211	35,305	39,915	38,327	33,238
334,981	31,237	35,333	39,778	38,306	33,249
335,980	31,252	35,282	39,757	38,245	33,267
336,982	31,224	35,249	39,694	38,193	33,297
337,981	31,218	35,194	39,562	38,140	33,240
338,980	31,271	35,271	39,545	38,163	33,312
339,980	31,194	35,135	39,422	38,081	33,254
340,982	31,270	35,151	39,324	38,003	33,285
341,980	31,283	35,095	39,246	37,976	33,295
342,982	31,326	35,152	39,208	37,982	33,323
343,981	31,295	35,057	39,105	37,867	33,250
344,981	31,336	35,092	39,049	37,841	33,315
345,980	31,284	35,036	38,955	37,821	33,304
346,981	31,400	35,055	38,890	37,847	33,373
347,982	31,416	35,062	38,865	37,816	33,395
348,981	31,372	34,991	38,766	37,723	33,330
349,981	31,363	34,963	38,692	37,646	33,361
350,980	31,355	34,927	38,525	37,668	33,338
351,982	31,418	34,923	38,517	37,584	33,411
352,980	31,447	34,934	38,528	37,684	33,419
353,979	31,367	34,844	38,345	37,480	33,346
354,980	31,380	34,819	38,281	37,497	33,334
355,980	31,425	34,814	38,241	37,503	33,338
356,980	31,395	34,831	38,162	37,461	33,392
