Time (s),TC1 (C),TC2 (C),TC3 (C),TC4 (C),TC5 (C)
0.0,21.654,21.542,22.214,22.789,22.793
1.0,41.203,33.045,22.5,22.864,22.763
2.0,61.814,50.733,23.263,22.861,22.819
3.0,79.283,67.589,24.024,22.942,22.817
4.0,94.645,82.922,24.972,22.99,22.816
5.0,110.11,97.139,25.648,23.106,22.861
6.0,121.409,110.645,26.448,23.165,22.835
7.0,133.564,123.212,27.205,23.329,22.91
8.0,143.803,135.469,27.972,23.42,22.909
9.0,152.787,148.302,28.6,23.426,22.946
10.0,161.559,159.955,29.222,23.419,22.939
11.0,168.908,169.662,29.861,23.55,22.994
12.0,174.73,177.762,30.386,23.494,22.924
13.0,181.806,185.224,30.946,23.553,22.995
14.0,188.923,191.965,31.441,23.657,23.002
15.0,195.275,198.531,31.981,23.777,23.048
16.0,199.659,204.419,32.404,23.756,22.929
17.0,204.017,209.978,32.904,23.807,23.017
18.0,209.792,215.218,33.366,23.846,23.083
19.0,214.37,219.902,33.75,23.862,23.046
20.0,218.093,224.169,34.164,23.949,23.038
21.0,224.625,228.182,34.556,23.991,23.108
22.0,229.087,231.827,34.963,24.12,23.114
23.0,231.865,235.286,35.294,24.058,23.067
24.0,236.542,238.649,35.822,24.245,23.167
25.0,241.411,241.817,36.184,24.194,23.243
26.0,246.127,244.788,36.5,24.29,23.195
27.0,249.812,247.728,36.853,24.22,23.147
28.0,254.751,250.379,37.225,24.294,23.166
29.0,257.818,253.018,37.602,24.414,23.211
30.0,260.389,255.585,37.799,24.397,23.255
31.0,264.02,257.983,38.209,24.474,23.228
32.0,268.827,260.254,38.559,24.524,23.244
33.0,273.345,262.426,38.879,24.603,23.303
34.0,275.019,264.581,39.109,24.54,23.256
35.0,277.869,266.713,39.531,24.607,23.336
36.0,295.82,280.656,39.934,24.612,23.321
37.0,303.674,284.808,40.15,24.686,23.296
38.0,308.273,285.054,40.636,24.888,23.387
39.0,307.667,286.221,40.867,24.827,23.374
40.0,313.947,289.869,41.158,24.889,23.363
41.0,314.542,293.073,41.526,24.96,23.466
42.0,320.588,292.536,41.892,24.985,23.446
43.0,321.358,292.825,42.075,24.973,23.411
44.0,327.619,293.049,42.515,25.028,23.494
45.0,328.499,293.804,42.767,25.085,23.617
46.0,330.317,297.873,43.037,25.059,23.532
47.0,334.744,299.36,43.355,25.088,23.45
48.0,337.588,300.193,43.708,25.19,23.569
49.0,336.856,301.47,44.041,25.244,23.595
50.0,340.718,304.138,44.347,25.318,23.602
51.0,341.707,306.123,44.677,25.254,23.504
52.0,343.131,308.017,44.966,25.319,23.611
53.0,346.556,309.278,45.282,25.377,23.629
54.0,348.706,310.915,45.67,25.393,23.613
55.0,352.961,314.425,46.134,25.493,23.781
56.0,353.38,313.696,46.319,25.59,23.671
57.0,358.969,316.204,46.651,25.574,23.748
58.0,357.886,316.794,46.932,25.559,23.676
59.0,362.078,314.741,47.375,25.722,23.752
60.0,366.209,318.533,47.615,25.708,23.739
61.0,361.9,319.717,47.886,25.689,23.717
62.0,367.51,321.867,48.319,25.77,23.811
63.0,366.573,325.302,48.589,25.839,23.772
64.0,369.138,323.425,49.001,25.855,23.802
65.0,374.543,323.494,49.311,25.889,23.813
66.0,373.379,326.28,49.741,25.959,23.931
67.0,375.176,328.307,49.943,26.0,23.86
68.0,374.847,327.714,50.275,26.046,23.871
69.0,381.49,329.256,50.699,25.987,23.933
70.0,380.955,333.623,50.975,26.039,23.861
71.0,380.998,336.08,51.383,26.15,23.937
72.0,385.371,333.219,51.781,26.219,23.941
73.0,387.154,334.38,52.087,26.174,24.034
74.0,389.247,335.313,52.36,26.155,23.945
75.0,390.174,337.144,52.773,26.23,23.994
76.0,389.224,341.848,53.123,26.422,24.054
77.0,392.542,343.661,53.489,26.388,24.063
78.0,390.372,342.647,53.847,26.382,24.034
79.0,394.794,343.07,54.195,26.44,24.05
80.0,395.528,342.666,54.536,26.376,24.099
81.0,397.983,344.881,54.911,26.574,24.064
82.0,370.921,323.184,55.172,26.531,24.13
83.0,362.114,315.493,54.973,26.533,24.113
84.0,355.071,308.755,54.748,26.461,24.08
85.0,348.741,302.471,54.666,26.538,24.234
86.0,342.715,296.19,54.374,26.409,24.097
87.0,337.071,290.199,54.218,26.395,24.096
88.0,331.789,284.477,54.104,26.429,24.191
89.0,326.727,278.977,53.928,26.369,24.153
90.0,321.959,273.967,53.779,26.328,24.111
91.0,317.387,269.043,53.739,26.353,24.198
92.0,313.082,264.291,53.601,26.327,24.16
93.0,308.958,259.776,53.526,26.312,24.142
94.0,304.947,255.427,53.392,26.274,24.106
95.0,301.213,251.38,53.417,26.325,24.096
96.0,297.55,247.435,53.379,26.302,24.12
97.0,294.086,243.674,53.457,26.315,24.193
98.0,290.735,240.051,53.496,26.378,24.213
99.0,287.466,236.501,53.419,26.317,24.133
100.0,284.366,233.186,53.482,26.304,24.149
101.0,281.287,229.917,53.441,26.371,24.125
102.0,278.322,226.787,53.52,26.311,24.136
103.0,275.471,223.81,53.616,26.35,24.131
104.0,272.636,220.92,53.621,26.343,24.128
105.0,269.932,218.165,53.763,26.374,24.184
106.0,267.167,215.5,53.809,26.358,24.1
107.0,264.568,212.88,53.897,26.434,24.136
108.0,261.92,210.396,53.972,26.374,24.114
109.0,259.406,208.035,54.064,26.395,24.124
110.0,257.012,205.731,54.174,26.425,24.131
111.0,254.584,203.481,54.247,26.492,24.193
112.0,252.299,201.356,54.384,26.507,24.155
113.0,250.006,199.212,54.499,26.481,24.179
114.0,247.741,197.149,54.506,26.47,24.128
115.0,245.566,195.229,54.694,26.526,24.19
116.0,243.375,193.257,54.756,26.51,24.128
117.0,241.287,191.423,54.864,26.508,24.143
118.0,239.284,189.688,54.995,26.612,24.176
119.0,237.259,187.842,55.06,26.592,24.178
120.0,235.266,186.18,55.17,26.632,24.149
121.0,233.295,184.568,55.292,26.673,24.138
122.0,231.379,182.918,55.434,26.735,24.164
123.0,229.443,181.366,55.564,26.745,24.133
124.0,227.613,179.784,55.643,26.77,24.209
125.0,225.703,178.35,55.731,26.788,24.168
126.0,223.888,176.917,55.863,26.766,24.185
127.0,222.129,175.492,56.032,26.796,24.15
128.0,220.367,174.086,56.05,26.813,24.106
129.0,218.645,172.812,56.298,26.92,24.193
130.0,216.932,171.504,56.387,26.88,24.158
131.0,215.253,170.211,56.444,26.888,24.192
132.0,213.563,168.94,56.545,26.916,24.198
133.0,211.89,167.673,56.65,26.975,24.16
134.0,210.326,166.556,56.801,27.006,24.197
135.0,208.742,165.321,56.921,27.069,24.183
136.0,207.128,164.159,56.991,27.087,24.183
137.0,205.68,163.054,57.147,27.149,24.222
138.0,204.09,161.891,57.217,27.096,24.167
