Time (s),TC1 (C),TC2 (C),TC3 (C),TC4 (C),TC5 (C)
0.00,21.085,22.755,22.484,23.182,23.322
1.02,21.073,22.936,22.469,23.224,23.340
2.00,21.075,22.980,22.434,23.189,23.283
3.00,21.030,23.000,22.427,23.160,23.303
4.00,21.137,23.058,22.484,23.252,23.359
5.00,21.044,22.962,22.390,23.224,23.269
6.00,21.024,22.974,22.441,23.189,23.262
7.00,21.098,23.051,22.491,23.228,23.375
8.00,21.028,23.068,22.450,23.168,23.286
9.00,21.036,23.013,22.466,23.159,23.345
10.00,21.090,23.030,22.431,23.111,23.347
11.00,21.029,23.054,22.435,23.114,23.296
12.00,21.007,23.037,22.400,23.099,23.243
13.00,21.041,23.062,22.439,23.125,23.291
14.00,21.013,23.049,22.444,23.170,23.312
15.00,21.049,22.986,22.397,23.118,23.283
16.00,21.072,23.052,22.449,23.179,23.325
17.00,38.596,23.484,22.692,23.442,23.296
18.00,70.335,24.493,24.161,23.795,23.405
19.00,95.907,25.517,26.157,23.995,23.295
20.00,114.750,26.768,28.478,23.964,23.389
21.00,133.159,28.022,30.451,24.290,23.349
22.00,148.705,55.505,32.487,24.143,23.405
23.00,163.152,62.992,34.142,24.396,23.374
24.00,183.008,69.138,35.631,24.336,23.308
25.00,195.308,74.690,36.996,24.413,23.380
26.00,205.504,79.763,38.317,24.744,23.468
27.00,212.567,84.914,39.533,24.648,23.523
28.00,212.493,89.223,40.635,24.665,23.439
29.00,220.527,94.096,41.771,25.096,23.478
30.00,230.595,98.040,42.796,25.103,23.564
31.00,244.405,102.131,43.787,25.344,23.590
32.00,250.618,105.666,44.690,25.183,23.585
33.00,252.383,108.735,45.501,25.303,23.629
34.00,261.809,111.992,46.302,25.732,23.686
35.00,267.767,115.067,47.089,25.474,23.713
36.00,273.555,117.542,47.821,25.540,23.760
37.00,273.184,119.927,48.512,25.546,23.776
38.00,277.182,121.686,49.223,25.640,23.798
39.00,279.244,123.779,49.818,26.007,23.809
40.00,284.079,125.614,50.446,25.923,23.799
41.00,287.970,126.932,51.084,25.891,23.911
42.00,293.061,128.498,51.724,26.171,24.042
43.00,297.536,129.425,52.184,26.132,23.853
44.00,303.331,130.502,52.718,26.042,23.910
45.00,302.909,131.540,53.420,26.229,24.038
46.00,301.036,132.655,53.984,26.431,24.067
47.00,305.642,133.647,54.509,26.657,24.073
48.00,309.327,134.913,55.205,26.619,24.222
49.00,309.878,135.853,55.675,26.640,24.152
50.00,312.411,135.960,56.271,26.528,24.282
51.00,321.942,136.240,56.853,26.635,24.273
52.00,321.911,137.071,57.571,26.787,24.342
53.00,322.043,137.734,58.133,26.882,24.328
54.00,331.946,146.671,58.804,26.763,24.399
55.00,335.024,152.703,59.448,26.778,24.405
56.00,338.715,150.526,59.908,26.849,24.407
57.00,340.319,157.212,60.495,26.912,24.441
58.00,345.558,157.059,61.066,26.961,24.438
59.00,348.677,156.284,61.652,26.906,24.572
60.00,352.052,157.073,62.217,26.977,24.485
61.00,351.627,158.066,62.899,27.016,24.567
62.00,360.162,162.115,63.484,27.360,24.701
63.00,359.325,159.751,64.013,27.212,24.688
64.00,360.457,161.930,64.580,27.225,24.676
65.00,359.817,163.698,65.276,27.379,24.713
66.00,362.015,160.367,65.828,27.557,24.766
67.00,367.610,159.490,66.556,27.513,24.867
68.00,368.945,162.144,67.106,27.544,24.807
69.00,370.572,161.303,67.701,27.532,24.816
70.00,358.630,150.931,68.291,27.571,24.979
71.00,342.237,142.380,68.154,27.472,24.947
72.00,334.980,139.794,67.778,27.369,24.925
73.00,328.139,137.079,67.206,27.296,24.984
74.00,321.623,134.388,66.737,27.216,24.986
75.00,315.302,131.755,66.247,27.227,25.026
76.00,309.288,129.200,65.732,27.087,25.020
77.00,303.531,126.608,65.324,27.133,25.029
78.00,298.065,124.123,64.878,27.130,25.043
79.00,292.866,121.880,64.553,27.107,25.075
80.00,287.925,119.747,64.220,27.046,25.029
81.00,283.334,117.624,63.916,26.992,25.074
82.00,278.982,115.648,63.730,27.047,25.103
83.00,274.772,113.867,63.475,26.951,25.033
84.00,270.783,112.122,63.296,26.874,25.016
85.00,267.021,110.483,63.101,26.833,25.083
86.00,263.440,108.853,62.989,26.728,25.076
87.00,259.950,107.391,62.893,26.716,25.021
88.00,256.621,105.912,62.748,26.684,25.041
89.00,253.452,104.517,62.756,26.732,25.130
90.00,250.370,103.161,62.660,26.656,25.055
91.00,247.428,101.844,62.541,26.637,25.035
92.00,244.599,100.605,62.558,26.605,25.032
93.00,241.874,99.437,62.535,26.621,25.026
94.00,239.241,98.406,62.460,26.602,25.047
95.00,236.696,97.470,62.405,26.657,25.013
96.00,234.235,96.499,62.361,26.568,25.035
97.00,231.841,95.611,62.376,26.621,25.054
98.00,229.439,94.670,62.423,26.659,25.068
99.00,227.102,93.722,62.356,26.601,25.000
100.00,224.788,92.920,62.348,26.578,25.010
101.00,222.547,92.086,62.360,26.576,24.972
102.00,220.333,91.273,62.355,26.608,25.003
103.00,218.214,90.456,62.341,26.608,24.995
104.00,216.132,89.823,62.427,26.628,24.983
105.00,213.982,89.017,62.356,26.557,24.920
106.00,211.989,88.255,62.464,26.576,24.961
107.00,210.049,87.677,62.480,26.608,24.989
108.00,208.035,86.928,62.436,26.567,24.963
109.00,206.198,86.395,62.502,26.612,24.991
110.00,204.300,85.692,62.509,26.542,24.965
111.00,202.541,85.149,62.538,26.584,24.991
112.00,200.744,84.539,62.511,26.506,24.960
113.00,198.950,83.896,62.603,26.568,25.038
114.00,197.169,88.475,62.568,26.447,24.931
115.00,195.426,80.528,62.598,26.551,24.931
116.00,193.775,62.120,62.660,26.528,25.009
117.00,192.054,33.361,62.595,26.499,24.913
118.00,190.442,32.364,62.635,26.516,24.934
119.00,188.923,32.015,62.697,26.574,24.940
120.00,187.254,31.791,62.704,26.587,24.907
121.00,185.742,31.540,62.679,26.582,24.923
122.00,184.270,31.446,62.707,26.653,24.898
123.00,182.873,31.428,62.788,26.781,24.986
124.00,181.327,31.212,62.788,26.709,24.917
125.00,179.795,31.103,62.752,26.727,24.912
126.00,178.434,31.036,62.802,26.813,24.920
127.00,176.927,30.930,62.828,26.856,24.904
128.00,175.638,30.865,62.863,26.839,24.971
129.00,174.173,30.794,62.857,26.828,24.927
130.00,172.871,30.729,62.888,26.936,24.925
131.00,171.544,30.598,62.870,26.925,24.889
132.00,170.178,30.593,62.906,26.947,24.894
133.00,168.934,30.494,62.913,26.977,24.934
134.00,167.659,30.447,62.925,26.940,24.873
135.00,166.386,30.358,62.909,26.987,24.869
136.00,165.144,30.275,62.997,26.993,24.910
137.00,163.874,30.217,62.985,27.017,24.915
138.00,162.750,30.121,63.014,27.049,24.910
139.00,161.565,30.048,62.979,27.096,24.929
140.00,160.377,67.139,63.047,27.094,24.913
141.00,159.196,29.577,63.012,27.086,24.854
142.00,158.119,29.064,63.048,27.110,24.896
143.00,156.955,28.607,63.062,27.124,24.903
144.00,155.780,28.456,63.043,27.137,24.885
145.00,154.713,28.405,63.026,27.193,24.892
146.00,153.558,28.347,63.005,27.177,24.840
147.00,152.484,28.280,63.037,27.215,24.879
148.00,151.427,28.222,63.030,27.244,24.910
149.00,150.402,28.119,62.988,27.272,24.911
150.00,149.370,28.094,62.983,27.315,24.942
151.00,148.333,28.093,63.013,27.347,24.938
152.00,147.259,28.329,62.971,27.406,24.962
153.00,146.225,28.051,62.940,27.395,24.904
154.00,145.248,27.902,62.918,27.418,24.909
155.00,144.298,27.908,62.877,27.453,24.934
156.00,143.360,27.953,62.883,27.531,24.969
157.00,142.313,27.844,62.844,27.489,24.903
158.00,141.388,27.781,62.796,27.503,24.904
159.00,140.464,27.788,62.771,27.559,24.866
160.00,139.572,27.785,62.770,27.636,24.940
161.00,138.670,27.780,62.762,27.654,24.964
162.00,137.781,27.792,62.788,27.702,24.976
163.00,136.839,27.779,62.695,27.751,24.955
164.00,135.925,27.725,62.620,27.729,24.959
165.00,135.082,27.687,62.601,27.774,25.005
166.00,134.165,27.641,62.525,27.744,24.937
167.00,133.341,27.585,62.475,27.782,24.966
168.00,132.410,27.543,62.443,27.796,24.921
169.00,131.681,27.531,62.485,27.902,25.004
170.00,130.813,27.554,62.436,27.941,25.006
171.00,129.967,27.486,62.410,28.010,25.026
172.00,129.126,27.506,62.393,28.022,25.060
173.00,128.286,27.470,62.296,28.079,24.978
