Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
2208.632	22.143	24.198	26.276	2295.306	2295.306
2209.642	22.139	24.153	26.257	2295.262	2295.262
2210.631	22.088	24.169	26.257	2295.213	2295.213
2211.631	22.074	24.144	26.260	2295.236	2295.236
2212.631	22.036	24.188	26.212	2295.223	2295.223
2213.631	22.028	24.138	26.214	2295.248	2295.248
2214.630	22.085	24.144	26.247	2295.289	2295.289
2215.631	22.093	24.197	26.246	2295.301	2295.301
2216.630	22.073	24.165	26.211	2295.210	2295.210
2217.631	22.080	24.160	26.215	2295.240	2295.240
2218.631	22.090	24.157	26.181	2295.234	2295.234
2219.631	22.104	24.130	26.194	2295.254	2295.254
2220.632	63.522	50.035	28.616	2295.185	2295.185
2221.630	97.549	70.726	31.550	2295.194	2295.194
2222.631	121.862	94.134	34.770	2295.278	2295.278
2223.632	141.742	115.178	38.252	2295.171	2295.171
2224.631	161.057	131.057	42.321	2295.234	2295.234
2225.631	180.316	155.109	46.654	2295.180	2295.180
2226.631	198.180	171.097	51.204	2295.178	2295.178
2227.630	213.195	202.374	55.996	2295.365	2295.365
2228.632	225.626	227.788	60.425	2295.270	2295.270
2229.630	236.541	243.107	64.868	2295.308	2295.308
2230.634	247.044	257.361	69.957	2295.131	2295.131
2231.632	257.801	267.653	75.966	2295.321	2295.321
2232.632	267.163	272.376	81.670	2295.291	2295.291
2233.631	275.114	276.861	87.764	2295.179	2295.179
2234.632	282.517	303.061	93.562	2295.121	2295.121
2235.634	290.538	306.614	99.454	2295.129	2295.129
2236.632	299.533	316.632	105.214	2295.314	2295.314
2237.631	308.292	324.038	110.893	2295.174	2295.174
2238.632	316.729	332.468	116.674	2295.241	2295.241
2239.631	324.362	339.679	121.274	2295.176	2295.176
2240.630	332.646	348.260	124.795	2295.250	2295.250
2241.631	340.671	353.790	127.844	2295.160	2295.160
2242.633	348.422	361.925	131.376	2295.206	2295.206
2243.631	356.127	368.751	135.043	2295.274	2295.274
2244.632	362.621	372.584	139.136	2295.198	2295.198
2245.632	368.193	378.448	143.187	2295.273	2295.273
2246.631	373.860	385.561	147.440	2295.433	2295.433
2247.632	379.585	392.919	151.415	2295.264	2295.264
2248.631	381.832	397.076	154.139	2295.231	2295.231
2249.631	372.099	397.710	155.771	2295.315	2295.315
2250.631	361.782	397.554	156.981	2295.220	2295.220
2251.633	353.384	395.907	158.203	2295.253	2295.253
2252.632	346.487	393.355	159.360	2295.281	2295.281
2253.631	340.547	389.991	160.500	2295.238	2295.238
2254.632	335.384	386.105	161.502	2295.297	2295.297
2255.632	330.729	381.765	162.475	2295.302	2295.302
2256.631	326.446	376.957	163.251	2295.242	2295.242
2257.633	322.507	372.009	164.065	2295.299	2295.299
2258.631	318.700	366.923	164.718	2295.254	2295.254
2259.632	315.209	361.850	165.311	2295.281	2295.281
2260.632	311.754	356.823	165.766	2295.236	2295.236
2261.632	308.492	351.906	166.146	2295.258	2295.258
2262.632	305.362	347.060	166.470	2295.226	2295.226
2263.633	302.353	342.319	166.711	2295.273	2295.273
2264.632	299.344	337.700	166.797	2295.191	2295.191
2265.631	296.493	333.297	166.804	2295.273	2295.273
2266.632	293.727	328.937	166.766	2295.254	2295.254
2267.632	290.988	324.709	166.696	2295.302	2295.302
2268.631	288.295	320.601	166.522	2295.293	2295.293
2269.631	285.702	316.535	166.203	2295.224	2295.224
2270.632	283.085	312.659	165.933	2295.215	2295.215
2271.632	280.614	308.914	165.651	2295.268	2295.268
2272.631	278.142	305.229	165.175	2295.233	2295.233
2273.632	275.716	301.646	164.757	2295.237	2295.237
2274.633	273.367	298.172	164.307	2295.263	2295.263
2275.631	271.012	294.800	163.816	2295.237	2295.237
2276.632	268.725	291.559	163.319	2295.352	2295.352
2277.632	266.449	288.220	162.741	2295.313	2295.313
2278.631	264.243	285.037	162.194	2295.293	2295.293
2279.632	261.994	281.790	161.547	2295.260	2295.260
2280.631	259.863	278.630	160.930	2295.230	2295.230
2281.633	257.717	275.553	160.348	2295.221	2295.221
2282.631	255.658	272.620	159.785	2295.294	2295.294
2283.631	253.553	269.634	159.002	2295.182	2295.182
2284.631	251.537	266.833	158.442	2295.314	2295.314
2285.635	249.525	263.973	157.758	2295.258	2295.258
2286.633	247.585	261.276	157.063	2295.214	2295.214
2287.633	245.671	258.634	156.431	2295.284	2295.284
2288.631	243.847	256.125	155.783	2295.358	2295.358
2289.633	241.890	253.496	155.054	2295.235	2295.235
2290.631	240.058	251.108	154.405	2295.310	2295.310
2291.632	238.214	248.690	153.741	2295.258	2295.258
2292.632	236.464	246.356	153.088	2295.318	2295.318
2293.635	234.724	244.058	152.419	2295.284	2295.284
2294.632	232.943	241.914	151.799	2295.303	2295.303
2295.631	231.241	239.738	151.143	2295.317	2295.317
2296.632	229.552	237.515	150.469	2295.237	2295.237
2297.632	227.899	235.464	149.890	2295.306	2295.306
2298.633	226.169	233.474	149.274	2295.278	2295.278
2299.633	224.467	231.434	148.565	2295.231	2295.231
2300.633	222.851	229.504	148.030	2295.301	2295.301
2301.631	221.213	227.632	147.427	2295.309	2295.309
2302.631	219.570	225.663	146.848	2295.289	2295.289
2303.632	217.838	223.777	146.241	2295.221	2295.221
2304.633	216.328	221.920	145.724	2295.317	2295.317
2305.631	214.692	220.066	145.231	2295.280	2295.280
2306.632	213.117	218.302	144.626	2295.291	2295.291
2307.631	211.505	216.527	144.070	2295.294	2295.294
2308.632	209.930	214.791	143.623	2295.306	2295.306
2309.633	208.336	213.067	143.160	2295.343	2295.343
2310.631	206.674	211.299	142.590	2295.274	2295.274
2311.631	205.080	209.673	142.088	2295.264	2295.264
2312.632	203.460	207.998	141.642	2295.259	2295.259
2313.631	201.894	206.357	141.113	2295.282	2295.282
2314.632	200.302	204.765	140.649	2295.291	2295.291
2315.633	198.803	203.211	140.190	2295.302	2295.302
2316.632	197.173	201.564	139.711	2295.248	2295.248
2317.632	195.672	200.062	139.219	2295.279	2295.279
2318.632	194.111	198.544	138.714	2295.251	2295.251
2319.633	192.600	197.002	138.254	2295.202	2295.202
2320.632	191.171	195.529	137.883	2295.315	2295.315
2321.632	189.764	194.110	137.412	2295.282	2295.282
2322.632	188.222	192.662	136.906	2295.208	2295.208
2323.633	186.860	191.338	136.507	2295.321	2295.321
2324.631	185.455	189.832	136.001	2295.284	2295.284
2325.632	184.056	188.496	135.589	2295.351	2295.351
2326.633	182.584	187.118	135.086	2295.217	2295.217
2327.633	181.139	185.859	134.718	2295.321	2295.321
2328.631	179.637	184.469	134.219	2295.297	2295.297
2329.633	178.241	183.163	133.791	2295.260	2295.260
2330.632	176.746	181.889	133.334	2295.245	2295.245
2331.631	175.309	180.654	132.976	2295.299	2295.299
2332.631	173.977	179.440	132.611	2295.338	2295.338
2333.633	172.663	178.176	132.148	2295.296	2295.296
2334.633	171.393	176.989	131.706	2295.247	2295.247
2335.633	170.258	175.875	131.403	2295.363	2295.363
2336.632	169.018	174.669	130.953	2295.346	2295.346
2337.633	167.762	173.397	130.559	2295.232	2295.232
2338.631	166.613	172.295	130.102	2295.242	2295.242
2339.633	165.484	171.190	129.681	2295.249	2295.249
2340.632	164.367	170.108	129.385	2295.308	2295.308
2341.633	163.230	168.993	128.970	2295.301	2295.301
2342.634	162.110	167.894	128.588	2295.273	2295.273
2343.632	160.957	166.781	128.185	2295.240	2295.240
2344.634	159.892	165.759	127.811	2295.277	2295.277
2345.632	158.778	164.675	127.369	2295.230	2295.230
2346.632	157.660	163.679	127.033	2295.219	2295.219
2347.632	156.669	162.696	126.674	2295.317	2295.317
2348.632	155.575	161.621	126.322	2295.299	2295.299
2349.632	154.540	160.574	125.908	2295.257	2295.257
2350.633	153.518	159.645	125.567	2295.277	2295.277
2351.632	152.457	158.652	125.159	2295.246	2295.246
2352.633	151.455	157.705	124.788	2295.205	2295.205
2353.632	150.505	156.762	124.436	2295.287	2295.287
2354.633	149.427	155.786	124.128	2295.302	2295.302
2355.633	148.436	154.884	123.696	2295.264	2295.264
2356.632	147.383	153.889	123.375	2295.227	2295.227
2357.634	146.428	153.023	123.100	2295.278	2295.278
2358.632	145.474	152.101	122.699	2295.280	2295.280
2359.633	144.478	151.172	122.309	2295.244	2295.244
2360.633	143.535	150.346	122.088	2295.320	2295.320
2361.632	142.606	149.410	121.743	2295.288	2295.288
2362.633	141.644	148.548	121.355	2295.270	2295.270
2363.632	140.732	147.711	120.987	2295.273	2295.273
2364.632	139.787	146.881	120.687	2295.276	2295.276
2365.633	138.808	146.027	120.367	2295.294	2295.294
2366.632	137.732	145.244	120.024	2295.312	2295.312
2367.632	136.693	144.380	119.722	2295.262	2295.262
2368.633	135.777	143.562	119.354	2295.229	2295.229
2369.633	134.934	142.703	119.058	2295.234	2295.234
2370.634	134.125	141.954	118.716	2295.282	2295.282
2371.632	133.238	141.149	118.394	2295.284	2295.284
2372.633	132.360	140.377	118.073	2295.245	2295.245
2373.633	131.541	139.590	117.754	2295.234	2295.234
2374.632	130.668	138.846	117.491	2295.256	2295.256
2375.633	129.860	138.131	117.143	2295.260	2295.260
2376.632	129.088	137.349	116.807	2295.295	2295.295
2377.633	128.323	136.627	116.541	2295.301	2295.301
2378.633	127.486	135.867	116.264	2295.316	2295.316
2379.632	126.705	135.135	115.888	2295.301	2295.301
2380.632	125.950	134.428	115.599	2295.275	2295.275
2381.632	125.166	133.645	115.238	2295.239	2295.239
2382.633	124.371	132.980	114.964	2295.217	2295.217
2383.634	123.606	132.272	114.704	2295.272	2295.272
2384.632	122.847	131.582	114.435	2295.280	2295.280
2385.633	122.152	130.872	114.137	2295.263	2295.263
2386.632	121.406	130.231	113.807	2295.227	2295.227
2387.632	120.743	129.573	113.541	2295.311	2295.311
2388.632	119.980	128.919	113.222	2295.235	2295.235
2389.633	119.337	128.232	112.900	2295.252	2295.252
2390.632	118.632	127.603	112.656	2295.288	2295.288
2391.632	117.920	126.926	112.338	2295.233	2295.233
2392.633	117.243	126.384	112.100	2295.297	2295.297
2393.633	116.546	125.763	111.839	2295.231	2295.231
2394.633	115.911	125.143	111.556	2295.259	2295.259
2395.632	115.268	124.548	111.312	2295.298	2295.298
2396.633	114.580	123.899	111.012	2295.274	2295.274
2397.634	113.941	123.367	110.730	2295.279	2295.279
2398.634	113.247	122.684	110.461	2295.224	2295.224
2399.634	112.628	122.092	110.249	2295.296	2295.296
2400.632	112.041	121.586	109.971	2295.289	2295.289
2401.635	111.323	120.989	109.708	2295.242	2295.242
2402.634	110.762	120.441	109.476	2295.253	2295.253
2403.633	110.070	119.852	109.165	2295.192	2295.192
2404.632	109.539	119.307	108.971	2295.250	2295.250
2405.636	108.943	118.746	108.660	2295.246	2295.246
2406.633	108.321	118.287	108.459	2295.290	2295.290
2407.632	107.657	117.712	108.221	2295.245	2295.245
2408.632	107.153	117.143	107.981	2295.214	2295.214
2409.633	106.576	116.648	107.747	2295.256	2295.256
2410.633	106.016	116.102	107.495	2295.231	2295.231
2411.633	105.464	115.638	107.250	2295.266	2295.266
2412.632	104.955	115.149	107.012	2295.307	2295.307
2413.634	104.345	114.562	106.791	2295.205	2295.205
2414.632	103.852	114.159	106.567	2295.312	2295.312
2415.632	103.304	113.610	106.286	2295.209	2295.209
2416.633	102.753	113.145	106.075	2295.261	2295.261
2417.634	102.267	112.688	105.814	2295.251	2295.251
2418.634	101.766	112.200	105.659	2295.272	2295.272
2419.633	101.294	111.731	105.361	2295.291	2295.291
2420.632	100.740	111.287	105.155	2295.279	2295.279
2421.633	100.242	110.803	104.956	2295.263	2295.263
2422.632	99.747	110.375	104.748	2295.251	2295.251
2423.633	99.238	109.903	104.477	2295.260	2295.260
2424.632	98.774	109.494	104.290	2295.244	2295.244
2425.633	98.341	109.021	104.095	2295.269	2295.269
2426.633	97.813	108.544	103.836	2295.177	2295.177
2427.634	97.385	108.141	103.655	2295.195	2295.195
2428.634	96.961	107.730	103.464	2295.285	2295.285
2429.633	96.501	107.311	103.289	2295.277	2295.277
2430.633	96.074	106.910	103.064	2295.242	2295.242
2431.633	95.603	106.501	102.860	2295.316	2295.316
2432.633	95.140	106.094	102.633	2295.249	2295.249
2433.633	94.737	105.690	102.480	2295.311	2295.311
2434.633	94.278	105.269	102.240	2295.289	2295.289
2435.633	93.826	104.868	102.055	2295.244	2295.244
2436.632	93.485	104.454	101.873	2295.289	2295.289
2437.633	92.981	104.131	101.703	2295.299	2295.299
2438.634	92.523	103.647	101.426	2295.189	2295.189
2439.633	92.156	103.285	101.278	2295.267	2295.267
2440.633	91.789	102.926	101.014	2295.229	2295.229
2441.633	91.349	102.600	100.857	2295.280	2295.280
2442.633	91.044	102.187	100.615	2295.228	2295.228
2443.633	90.631	101.781	100.428	2295.246	2295.246
2444.634	90.231	101.348	100.226	2295.226	2295.226
2445.634	89.867	101.036	100.008	2295.186	2295.186
2446.634	89.482	100.693	99.915	2295.244	2295.244
2447.633	89.076	100.345	99.630	2295.218	2295.218
2448.632	88.721	99.965	99.483	2295.211	2295.211
2449.633	88.358	99.609	99.260	2295.230	2295.230
2450.633	88.025	99.340	99.165	2295.294	2295.294
2451.634	87.626	98.930	98.943	2295.240	2295.240
2452.633	87.308	98.615	98.772	2295.274	2295.274
