Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
293.812	19.913	21.333	21.253	21.394	21.249
294.821	19.846	21.253	21.200	21.359	21.234
295.812	19.902	21.294	21.264	21.390	21.240
296.811	19.880	21.277	21.236	21.393	21.241
297.811	19.911	21.280	21.304	21.413	21.205
298.811	19.864	21.242	21.240	21.350	21.223
299.811	19.900	21.270	21.285	21.395	21.209
300.812	19.922	21.280	21.247	21.397	21.212
301.812	19.921	21.312	21.302	21.424	21.297
302.811	19.871	21.241	21.231	21.369	21.205
303.811	19.861	21.267	21.223	21.384	21.188
304.812	19.861	21.260	21.236	21.365	21.148
305.811	19.852	21.219	21.235	21.379	21.168
306.811	19.850	21.303	21.284	21.410	21.211
307.810	19.836	21.244	21.234	21.368	21.171
308.811	19.811	21.257	21.235	21.350	21.192
309.811	19.745	21.223	21.229	21.357	21.128
310.812	19.762	21.239	21.233	21.371	21.190
311.812	19.753	21.213	21.190	21.349	21.120
327.811	19.742	21.206	21.247	21.314	21.138
328.811	19.716	21.187	21.210	21.298	21.084
329.812	19.706	21.187	21.231	21.281	21.130
330.811	19.715	21.249	21.224	21.287	21.091
331.812	19.746	21.192	21.171	21.302	21.109
332.811	19.764	21.270	21.276	21.383	21.125
333.812	19.688	21.182	21.192	21.333	21.060
334.811	76.643	46.408	32.479	34.878	25.231
335.811	109.225	69.583	44.564	48.515	31.004
336.810	128.859	91.215	57.988	60.000	36.618
337.812	142.252	112.780	71.644	71.270	42.790
338.811	153.881	136.409	85.150	82.034	48.985
339.812	170.104	155.288	97.722	92.055	55.264
340.812	189.477	175.769	109.736	101.177	61.676
341.812	202.499	197.094	120.682	108.484	67.708
342.812	206.576	214.997	130.794	114.239	73.682
343.812	215.709	227.728	140.061	124.777	79.152
344.811	225.525	240.893	148.819	137.248	84.741
345.811	234.098	252.575	156.835	134.414	94.224
346.811	242.884	262.660	165.510	139.396	110.975
347.811	252.093	272.320	174.473	145.046	121.197
348.811	259.600	283.322	183.881	151.089	128.894
349.812	263.966	292.214	193.511	158.644	128.800
350.811	271.902	299.262	203.358	170.426	132.250
351.810	279.695	307.004	212.531	211.180	138.547
352.811	287.599	314.430	221.526	214.319	143.068
353.810	295.472	323.352	229.798	222.109	159.626
354.810	302.938	331.489	237.756	238.751	175.614
355.811	310.102	339.550	245.424	248.364	191.687
356.811	317.151	348.297	252.358	261.104	198.385
357.812	324.011	355.392	259.698	272.378	201.186
358.811	330.604	361.571	266.596	278.701	207.621
359.811	336.873	366.104	273.363	295.357	213.444
360.812	343.193	373.217	279.709	314.914	218.644
361.811	349.195	380.290	285.505	322.576	224.045
362.811	355.431	385.408	291.082	323.446	230.012
363.812	361.400	392.045	296.610	331.114	236.633
364.810	366.707	398.668	302.238	340.280	243.632
365.811	372.494	404.781	307.732	338.148	250.281
366.811	377.824	410.970	313.171	349.417	256.441
367.810	383.630	416.711	318.907	351.806	261.895
368.811	383.222	415.653	320.297	325.160	263.106
369.812	374.447	412.403	318.272	319.193	259.716
370.811	365.123	408.553	314.708	314.596	255.307
371.812	356.644	404.058	310.129	309.923	250.450
372.811	349.417	399.072	305.118	306.183	245.458
373.812	343.236	393.276	299.904	302.842	240.836
374.811	337.643	387.526	294.622	300.711	231.692
375.811	332.507	381.598	289.396	300.491	221.536
376.811	327.733	375.470	284.178	293.886	214.610
377.812	323.161	369.418	279.090	287.931	211.853
378.812	318.930	363.375	274.276	282.263	210.001
379.811	314.849	357.651	269.567	277.244	207.513
380.811	310.822	351.854	265.070	271.874	204.859
381.812	307.066	346.278	260.756	266.336	202.544
382.810	303.329	340.787	256.574	260.991	200.235
383.812	299.822	335.560	252.651	256.365	198.131
384.811	296.286	330.370	248.714	252.206	195.959
385.811	293.033	325.536	245.099	248.705	194.102
386.812	289.640	320.803	241.491	244.589	191.949
387.812	286.433	316.264	238.105	240.884	190.003
388.811	283.321	311.995	234.857	237.058	188.084
389.811	280.276	307.752	231.757	232.925	186.300
390.811	277.294	303.706	228.703	229.002	184.648
391.810	274.306	299.809	225.821	225.240	183.039
392.812	271.641	296.127	223.112	222.012	181.559
393.811	268.774	292.490	220.389	218.990	179.965
394.811	266.036	289.070	217.766	216.173	178.649
395.811	263.369	285.677	215.292	213.519	177.351
396.812	260.745	282.512	212.919	210.959	176.246
397.811	258.228	279.397	210.622	208.711	175.159
398.812	255.819	276.451	208.373	206.536	174.183
399.810	253.323	273.547	206.233	204.443	173.137
400.811	250.961	270.782	204.159	202.453	172.129
401.810	248.594	268.015	202.070	200.542	171.121
402.811	246.375	265.466	200.143	198.783	170.382
403.811	244.130	262.976	198.209	196.988	169.512
404.811	242.001	260.590	196.412	195.295	168.698
405.811	239.856	258.301	194.639	193.642	167.948
406.811	237.854	256.077	192.964	192.184	167.214
407.812	235.888	253.902	191.277	190.747	166.547
408.810	233.883	251.744	189.627	189.272	165.778
409.811	231.910	249.767	188.116	187.911	165.132
410.811	230.087	247.819	186.559	186.574	164.434
411.811	228.238	245.957	185.076	185.326	163.837
412.811	226.444	244.145	183.714	183.859	163.256
413.811	224.620	242.342	182.230	182.327	162.587
414.811	222.911	240.733	180.944	180.980	162.038
415.811	221.308	239.091	179.677	179.672	161.587
416.811	219.715	237.433	178.449	178.395	160.989
417.811	218.040	235.852	177.100	177.118	160.484
418.814	216.355	234.265	175.808	175.910	159.879
