Time (s)	TC1 (C)	TC2 (C)	TC3 (C)
0,000	19,646	20,372	20,945
1,000	59,252	30,132	23,311
2,000	89,037	48,780	27,157
3,000	102,926	64,584	30,733
4,000	113,968	80,602	33,642
5,000	123,907	97,881	37,280
6,000	132,625	112,503	40,677
7,000	140,554	125,240	44,489
8,000	148,034	138,241	48,119
9,000	156,223	151,740	52,163
10,000	165,377	166,650	56,352
11,000	175,741	179,599	60,620
12,000	186,560	191,873	64,894
13,000	196,243	203,555	69,253
14,000	204,545	214,772	73,564
15,000	213,441	226,096	78,492
16,000	222,642	234,969	82,982
17,000	227,128	244,288	88,146
18,000	233,761	254,690	92,796
19,000	238,471	263,234	97,552
20,000	238,362	269,755	102,324
21,000	228,075	276,928	106,750
22,000	226,973	282,498	110,565
23,000	227,047	289,571	114,928
24,000	230,286	296,173	119,018
25,000	234,881	302,907	122,955
26,000	241,440	309,903	126,117
27,000	246,406	315,403	128,677
28,000	250,180	318,779	130,896
29,000	253,794	324,436	133,222
30,000	257,191	327,964	134,578
31,000	259,682	335,324	135,059
32,000	263,020	341,339	136,148
33,000	265,694	347,803	137,327
34,000	268,829	348,676	138,901
35,000	271,363	350,104	141,515
36,000	274,642	350,900	145,237
37,000	278,284	351,949	147,897
38,000	286,053	356,918	149,950
39,000	302,152	364,711	152,046
40,000	320,845	372,198	154,335
41,000	327,188	374,183	156,662
42,000	331,336	374,203	158,467
43,000	334,943	377,318	160,537
44,000	338,302	379,657	162,788
45,000	341,900	390,115	165,248
46,000	342,271	384,207	167,112
47,000	334,231	377,419	167,012
48,000	326,912	373,768	167,053
49,000	320,984	369,587	167,181
50,000	315,881	364,737	167,378
51,000	311,487	359,834	167,752
52,000	307,499	354,883	168,096
53,000	303,808	350,111	168,302
54,000	300,444	345,571	168,547
55,000	296,555	340,960	168,748
56,000	292,516	336,553	168,808
57,000	289,081	332,325	168,996
58,000	286,310	328,168	168,953
59,000	283,480	324,154	168,948
60,000	280,405	320,240	168,813
61,000	277,361	316,486	168,636
62,000	274,647	312,885	168,564
63,000	271,955	309,317	168,216
64,000	269,189	305,901	167,895
65,000	266,467	302,527	167,520
66,000	263,872	299,214	167,169
67,000	261,497	295,982	166,703
68,000	259,255	292,897	166,200
69,000	257,264	289,885	165,732
70,000	255,314	286,932	165,236
71,000	253,304	283,995	164,729
72,000	251,340	281,161	164,137
73,000	249,434	278,367	163,518
74,000	247,550	275,674	163,004
75,000	245,749	272,911	162,321
76,000	244,023	270,393	161,741
77,000	242,277	267,826	161,108
78,000	240,564	265,357	160,420
79,000	238,877	262,878	159,831
80,000	237,241	260,490	159,125
81,000	235,678	258,131	158,424
82,000	234,035	255,824	157,807
83,000	232,426	253,627	157,047
84,000	230,908	251,478	156,406
85,000	229,395	249,335	155,722
86,000	227,859	247,172	155,037
87,000	226,355	245,154	154,395
88,000	224,907	243,121	153,713
89,000	223,404	241,109	153,068
90,000	221,903	239,145	152,399
91,000	220,499	237,295	151,780
92,000	219,048	235,429	151,118
93,000	217,568	233,531	150,448
94,000	216,185	231,763	149,820
95,000	214,758	229,977	149,229
96,000	213,302	228,159	148,601
97,000	211,885	226,413	147,961
98,000	210,540	224,724	147,393
99,000	209,116	222,927	146,738
100,000	207,732	221,207	146,255
101,000	206,333	219,519	145,630
102,000	204,874	217,855	145,037
103,000	203,510	216,235	144,513
104,000	202,193	214,622	143,981
105,000	200,846	213,013	143,539
106,000	199,449	211,403	142,995
107,000	198,136	209,868	142,525
108,000	196,855	208,309	142,064
109,000	195,527	206,802	141,643
110,000	194,253	205,335	141,185
111,000	192,893	203,775	140,670
112,000	191,684	202,379	140,276
113,000	190,371	200,974	139,858
114,000	189,103	199,524	139,316
115,000	187,881	198,090	138,922
116,000	186,551	196,727	138,435
117,000	185,404	195,376	138,048
118,000	184,149	194,043	137,550
119,000	182,971	192,668	137,038
120,000	181,688	191,322	136,575
121,000	180,546	190,098	136,142
122,000	179,352	188,840	135,713
123,000	178,210	187,617	135,283
124,000	176,978	186,226	134,737
125,000	175,788	185,002	134,227
126,000	174,717	183,793	133,786
127,000	173,569	182,596	133,334
128,000	172,450	181,479	132,786
129,000	171,338	180,236	132,345
130,000	170,211	179,129	131,811
131,000	169,121	177,920	131,403
132,000	168,100	176,822	130,957
133,000	167,030	175,721	130,491
134,000	165,979	174,598	130,061
135,000	164,882	173,406	129,569
136,000	163,767	172,370	129,153
137,000	162,760	171,345	128,755
138,000	161,764	170,265	128,344
139,000	160,799	169,273	127,933
140,000	159,774	168,249	127,513
141,000	158,757	167,236	127,093
142,000	157,675	166,174	126,711
143,000	156,793	165,230	126,285
144,000	155,754	164,203	125,875
145,000	154,816	163,269	125,515
146,000	153,872	162,253	125,067
147,000	152,845	161,254	124,710
148,000	151,987	160,384	124,344
149,000	151,004	159,445	123,999
150,000	150,143	158,558	123,630
151,000	149,165	157,562	123,212
152,000	148,247	156,689	122,806
153,000	147,302	155,735	122,478
154,000	146,367	154,825	122,024
155,000	145,464	153,925	121,683
156,000	144,578	153,062	121,375
157,000	143,671	152,146	120,959
158,000	142,768	151,300	120,622
159,000	141,991	150,426	120,340
160,000	141,043	149,529	119,891
161,000	140,191	148,748	119,590
162,000	139,313	147,822	119,248
163,000	138,499	147,041	118,886
164,000	137,621	146,150	118,512
165,000	136,760	145,317	118,153
166,000	135,994	144,542	117,884
167,000	135,152	143,740	117,541
168,000	134,375	142,948	117,190
169,000	133,542	142,085	116,891
170,000	132,768	141,305	116,567
171,000	131,938	140,574	116,210
172,000	131,215	139,814	115,894
173,000	130,379	139,062	115,561
174,000	129,656	138,312	115,344
175,000	128,934	137,557	114,955
176,000	128,126	136,847	114,704
177,000	127,287	136,123	114,368
178,000	126,534	135,391	114,042
179,000	125,825	134,662	113,751
180,000	125,100	134,022	113,523
181,000	124,398	133,299	113,146
182,000	123,681	132,572	112,849
183,000	122,931	131,867	112,528
184,000	122,250	131,197	112,299
185,000	121,567	130,559	112,001
186,000	120,800	129,866	111,677
187,000	120,187	129,273	111,373
188,000	119,533	128,593	111,145
189,000	118,885	127,924	110,846
190,000	118,190	127,291	110,572
191,000	117,569	126,741	110,323
192,000	116,921	126,119	110,063
193,000	116,209	125,455	109,695
194,000	115,598	124,803	109,435
195,000	114,973	124,187	109,207
196,000	114,327	123,575	108,912
197,000	113,736	122,980	108,691
198,000	113,090	122,431	108,410
199,000	112,569	121,874	108,147
