Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
34,483	25,055	25,000	25,150	25,169	25,053
35,496	25,122	24,924	25,125	25,137	25,040
36,483	25,095	24,922	25,121	25,118	25,046
37,482	25,103	25,014	25,145	25,153	25,076
38,483	25,016	24,959	25,100	25,087	25,004
39,483	33,096	35,750	30,579	34,371	35,872
40,483	52,886	47,596	35,858	44,953	56,927
41,482	73,167	58,167	40,601	54,357	76,086
42,483	92,205	69,209	46,115	63,798	92,690
43,483	109,909	80,336	52,146	73,283	109,523
44,483	125,687	91,130	58,421	82,562	124,044
45,483	138,799	101,727	64,908	91,618	136,492
46,484	151,017	111,868	71,390	100,071	146,954
47,484	162,180	121,538	77,992	107,930	157,813
48,482	172,374	130,524	84,351	115,209	167,929
49,483	182,152	138,912	90,635	122,412	180,336
50,483	191,110	146,667	96,881	129,386	189,358
51,485	199,271	154,343	102,843	136,212	198,485
52,482	207,213	161,609	108,483	142,785	206,835
53,482	214,720	168,753	115,002	149,089	214,018
54,482	222,035	175,869	119,632	155,117	219,758
55,484	229,057	183,117	124,517	161,064	225,692
56,483	235,172	190,297	129,587	166,639	232,140
57,483	240,328	196,769	135,145	172,046	238,162
58,484	245,560	203,369	140,488	177,135	243,611
59,483	250,295	209,788	145,359	181,641	248,563
60,484	254,174	215,795	149,910	186,099	253,107
61,484	258,154	221,512	154,176	189,989	257,140
62,483	261,982	226,852	158,321	193,320	261,276
63,482	266,297	231,742	162,271	197,067	265,314
64,483	270,186	236,063	166,171	200,736	269,479
65,483	271,692	239,019	169,325	203,660	271,114
66,482	264,478	237,949	171,183	203,654	264,754
67,484	255,768	235,910	172,152	202,063	257,412
68,483	247,369	233,567	172,747	199,974	250,125
69,483	239,224	230,421	172,646	197,482	242,808
70,483	231,579	226,934	172,114	194,513	235,645
71,483	224,443	223,222	171,249	191,484	228,772
72,483	217,596	219,154	170,055	188,001	222,159
73,483	211,344	215,058	168,680	184,611	215,929
74,483	205,465	210,830	167,074	181,170	209,885
75,484	199,913	206,791	165,394	177,703	204,171
76,484	194,459	202,696	163,631	174,395	198,499
77,482	189,064	198,607	161,681	171,049	192,894
78,482	184,068	194,654	159,821	167,848	187,672
79,483	179,168	190,779	157,863	164,680	182,643
80,482	174,599	186,975	155,836	161,548	177,801
