Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
711,490	22,874	22,820	22,801	22,806	22,711
712,508	22,942	22,852	22,770	22,784	22,706
713,491	24,380	27,243	24,624	25,673	24,699
714,491	40,280	45,863	32,419	39,562	42,103
715,492	63,147	57,638	37,408	49,616	64,133
716,491	86,094	68,429	42,440	60,063	84,561
717,491	107,553	79,141	47,564	69,830	103,237
718,491	126,782	89,902	53,330	79,452	121,034
719,491	145,158	100,406	59,680	88,651	137,559
720,491	162,224	110,583	66,029	97,530	152,435
721,490	177,767	121,341	72,566	105,670	166,506
722,490	191,997	132,309	79,234	111,835	179,741
723,491	205,162	142,540	86,218	119,380	192,060
724,491	217,550	153,802	93,028	127,317	203,610
725,490	228,938	164,840	99,671	132,708	214,557
726,491	239,072	173,373	106,180	137,382	224,919
727,491	242,963	179,423	107,731	143,917	228,982
728,491	237,310	180,333	109,564	146,510	223,660
729,492	230,719	180,201	111,880	147,455	217,253
730,491	223,870	179,527	113,610	147,331	210,387
731,491	216,912	177,902	114,767	146,439	203,370
732,490	209,761	175,749	115,413	144,932	196,247
733,490	202,659	173,069	115,662	142,910	189,159
734,491	195,752	170,201	115,753	140,530	182,240
735,491	189,003	167,227	115,555	137,827	175,647
736,492	182,359	164,110	115,148	134,995	169,336
737,489	176,114	160,887	114,475	132,091	163,385
738,491	170,308	157,832	113,789	129,078	157,791
739,490	164,870	154,734	112,904	126,135	152,498
740,491	159,659	151,506	111,951	123,539	147,497
741,490	154,410	148,369	110,822	119,848	142,852
742,491	149,969	145,395	109,790	117,557	138,559
743,491	145,629	142,440	108,633	115,252	134,346
744,490	141,600	139,490	107,519	113,120	130,439
745,489	137,621	136,554	106,275	111,078	126,806
746,489	133,936	133,795	105,166	109,028	123,334
747,490	130,323	131,089	103,960	106,997	120,084
748,490	126,863	128,500	102,685	104,941	116,887
749,491	123,630	126,025	101,511	102,967	113,949
750,491	120,548	123,462	100,265	101,091	111,227
751,490	117,518	120,903	99,016	99,226	108,614
752,491	114,731	118,562	97,744	97,488	106,000
753,491	112,075	116,351	96,513	95,798	103,618
754,490	109,532	114,141	95,278	94,203	101,339
755,489	107,126	112,113	94,105	92,717	99,115
756,490	104,780	110,068	92,874	91,224	97,048
757,490	102,537	108,097	91,673	89,748	95,106
758,490	100,453	106,264	90,516	88,359	93,211
759,490	98,391	104,409	89,376	87,014	91,389
760,490	96,352	102,627	88,270	85,627	89,739
761,490	94,388	101,022	87,190	84,256	88,094
762,491	92,577	99,294	86,044	82,973	86,483
763,490	90,928	97,699	84,959	81,804	85,076
764,490	89,340	96,170	83,987	80,692	83,647
765,491	87,807	94,618	82,906	79,569	82,210
766,490	86,430	93,187	81,905	78,569	80,918
767,490	85,119	91,780	80,974	77,515	79,678
768,491	83,825	90,477	80,032	76,546	78,481
769,490	82,431	89,151	79,077	75,572	77,311
770,491	81,199	87,855	78,134	74,571	76,159
771,490	79,979	86,602	77,238	73,638	75,135
772,491	78,846	85,414	76,398	72,818	74,110
773,490	77,779	84,265	75,537	71,942	73,124
774,491	76,721	83,162	74,743	71,117	72,194
775,491	75,754	82,114	73,884	70,357	71,292
776,491	74,796	81,029	73,173	69,582	70,348
777,492	73,784	79,969	72,327	68,755	69,456
778,490	72,969	79,021	71,591	68,045	68,637
779,491	72,077	78,058	70,832	67,374	67,827
780,490	71,217	77,140	70,122	66,684	67,061
781,489	70,411	76,279	69,467	66,015	66,377
782,489	69,548	75,307	68,718	65,362	65,595
783,491	68,841	74,553	68,148	64,762	64,939
784,490	67,969	73,622	67,378	64,060	64,164
785,490	67,308	72,826	66,792	63,500	63,605
786,490	66,554	72,001	66,120	62,872	62,920
787,490	65,863	71,250	65,613	62,389	62,361
788,489	65,080	70,459	64,934	61,782	61,668
789,491	64,476	69,795	64,385	61,236	61,108
