Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
131,236	21,211	21,064	20,624	20,945	21,177
132,246	21,283	21,095	20,677	20,980	21,211
133,236	21,471	21,570	29,388	21,293	24,238
134,236	21,625	24,082	68,982	23,707	28,306
135,235	21,940	26,773	104,289	27,412	28,648
136,236	22,122	29,190	135,029	30,997	28,231
137,237	22,456	31,469	160,339	34,766	26,772
138,237	22,548	33,566	181,662	38,114	28,790
139,236	22,698	35,615	203,462	41,486	30,518
140,235	23,073	37,636	224,574	44,878	29,914
141,237	23,199	39,408	244,830	47,962	29,448
142,236	23,417	41,198	263,418	50,985	28,341
143,238	23,564	42,783	279,265	53,957	29,124
144,236	23,562	43,560	283,867	56,265	25,538
145,237	23,500	42,361	272,059	56,394	23,828
146,237	23,555	41,300	261,279	55,725	23,753
147,237	23,530	40,402	251,076	54,911	23,682
148,236	23,509	39,568	241,203	54,077	23,569
149,236	23,510	38,891	231,838	53,272	23,565
150,235	23,476	38,212	222,638	52,520	23,472
151,236	23,490	37,682	214,007	51,824	23,435
152,235	23,427	37,210	205,896	51,285	23,420
153,236	23,396	36,749	198,118	50,691	23,315
154,237	23,365	36,438	190,851	50,243	23,265
155,236	23,339	36,095	184,075	49,824	23,282
156,236	23,347	35,910	177,747	49,543	23,306
157,235	23,283	35,584	171,601	49,164	23,235
158,236	23,323	35,431	165,910	48,888	23,260
159,236	23,280	35,229	160,575	48,633	23,234
160,236	23,204	35,048	155,402	48,276	23,151
161,236	23,216	34,917	150,649	48,106	23,143
162,236	23,161	34,757	146,094	47,880	23,146
163,237	23,151	34,672	141,749	47,718	23,141
164,236	23,176	34,520	137,634	47,450	23,096
165,236	23,119	34,524	133,727	47,292	23,108
166,236	23,167	34,402	130,055	47,106	23,134
167,237	23,120	34,282	126,499	46,940	23,204
168,235	23,147	34,277	123,091	46,788	23,178
169,237	23,108	34,175	119,843	46,534	23,140
170,237	23,146	34,161	116,827	46,409	23,229
171,237	23,188	34,091	113,876	46,231	23,167
172,237	23,190	34,083	111,109	46,043	23,241
173,236	23,126	33,992	108,435	45,855	23,233
174,235	23,120	33,934	105,873	45,672	23,234
175,237	23,114	33,868	103,470	45,464	23,235
176,236	23,112	33,849	101,231	45,301	23,245
177,237	23,104	33,770	98,994	45,064	23,243
178,234	23,130	33,735	96,676	44,963	23,277
179,237	23,138	33,757	94,740	44,845	23,354
180,235	23,122	33,711	92,785	44,630	23,332
181,236	23,160	33,687	91,024	44,499	23,375
182,235	23,151	33,576	89,232	44,295	23,340
183,237	23,154	33,609	87,625	44,131	23,412
184,236	23,168	33,578	85,998	43,940	23,415
185,235	23,211	33,549	84,490	43,765	23,478
186,237	23,157	33,503	82,980	43,610	23,473
187,235	23,207	33,499	81,612	43,392	23,455
188,236	23,224	33,482	80,272	43,312	23,514
189,234	23,282	33,509	79,021	43,174	23,534
190,234	23,213	33,395	77,727	42,967	23,601
191,236	23,229	33,417	76,558	42,799	23,597
192,236	23,207	33,370	75,382	42,677	23,603
193,236	23,290	33,375	74,316	42,479	23,637
194,235	23,355	33,369	73,231	42,298	23,616
195,237	23,320	33,279	72,155	42,104	23,630
196,236	23,309	33,286	71,256	42,004	23,720
197,234	23,268	33,284	70,217	41,835	23,714
198,237	23,377	33,313	69,371	41,695	23,797
199,234	23,389	33,220	68,453	41,548	23,864
200,236	23,415	33,226	67,643	41,447	23,940
201,236	23,403	33,145	66,737	41,266	23,890
202,236	23,467	33,163	65,993	41,138	23,951
203,235	23,461	33,070	65,158	41,051	23,980
204,236	23,513	33,138	64,436	40,922	24,068
205,234	23,542	33,095	63,687	40,758	24,113
206,236	23,608	33,118	62,996	40,674	24,200
207,236	23,563	33,135	62,283	40,517	24,147
208,236	23,603	33,041	61,652	40,344	24,205
209,235	23,653	33,090	60,949	40,291	24,272
210,235	23,644	33,063	60,396	40,150	24,279
211,235	23,676	33,019	59,758	39,969	24,320
212,236	23,750	33,018	59,191	39,881	24,374
213,235	23,773	32,972	58,608	39,772	24,406
214,236	23,760	32,954	58,009	39,634	24,414
215,236	23,812	32,982	57,528	39,572	24,469
216,235	23,831	32,954	56,976	39,340	24,494
