Time (s)	TC1 (C)	TC2 (C)	TC3 (C)	TC4 (C)	TC5 (C)
16,951	23,184	22,768	22,320	23,150	23,469
17,969	23,195	22,759	22,299	23,120	23,441
18,951	23,142	22,712	22,269	23,063	23,400
19,953	23,137	22,697	22,197	23,044	23,362
20,953	23,131	22,782	22,213	23,083	23,403
21,952	23,162	22,764	22,222	23,083	23,366
22,954	23,276	22,824	24,588	23,182	23,510
23,951	23,312	22,908	27,093	23,354	23,598
24,952	23,399	23,052	30,211	23,739	23,753
25,952	23,491	23,232	33,020	24,227	23,940
26,952	23,596	23,524	36,642	24,685	24,112
27,951	23,616	23,690	40,893	25,300	24,178
28,954	23,770	24,008	45,662	25,976	24,318
29,952	23,847	24,339	48,825	26,644	24,491
30,952	23,904	24,637	53,540	27,439	24,557
31,952	23,964	24,983	57,312	28,262	24,670
32,952	24,087	25,317	61,704	29,165	24,753
33,951	24,143	25,745	65,906	30,017	24,910
34,952	24,239	26,187	69,767	31,027	25,024
35,951	24,355	26,574	73,225	31,908	25,048
36,951	24,407	26,959	77,414	33,000	25,164
37,952	24,393	27,452	80,529	34,039	25,238
38,951	24,577	27,946	84,248	35,050	25,480
39,951	24,592	28,503	88,007	36,178	25,506
40,952	24,636	29,025	91,709	37,220	25,629
41,952	24,746	29,529	95,258	38,350	25,729
42,953	24,876	30,083	98,833	39,538	25,859
43,952	24,849	30,615	102,432	40,721	25,983
44,953	24,992	31,162	105,792	41,837	25,998
45,951	25,033	31,699	109,110	42,915	26,155
46,952	25,129	32,327	112,411	44,101	26,232
47,953	25,201	32,836	115,642	45,211	26,374
48,952	25,299	33,506	118,787	46,418	26,483
49,953	25,327	34,143	121,930	47,560	26,587
50,953	25,435	34,636	124,915	48,707	26,705
51,950	25,574	35,300	127,880	49,891	26,765
52,951	25,627	36,016	130,775	51,147	26,854
53,951	25,707	36,599	133,702	52,252	27,017
54,953	25,762	37,238	136,176	53,418	27,204
55,951	25,804	37,782	139,354	54,519	27,290
56,953	25,888	38,529	142,089	55,742	27,328
57,952	25,978	39,062	144,529	56,813	27,394
58,951	26,134	39,756	147,863	57,977	27,569
