lambda_bord_mm,k_hot,facteur,contraste_M,rmse_holdout,rmse_fit,classe
0.0,,5.890982683633264,3.1559206907357176,16.458343338076638,,reference
0.0,2.0,5.594296003680211,2.5923366493550777,19.429419797206844,18.064175402427008,hors
0.0,3.0,6.012653053767937,2.515157598412788,16.795007088940523,15.438381260776254,hors
0.0,4.0,5.23366668203291,2.372695192342328,23.242574727143268,22.682644841924386,hors
0.0,5.0,6.014861186638482,2.325180818342414,17.81361631236245,16.823296505394275,hors
0.0,6.0,5.024144113934366,2.2364342822030094,25.63828517854079,25.65987293804002,hors
1.0,2.0,4.714037294019262,1.8847403977469137,30.835738579555112,31.2994911617281,hors
1.0,3.0,4.752680688771256,1.8518312525665426,30.735217333678793,31.25185784464494,hors
1.0,4.0,4.540695633802926,1.8161184396858494,32.33110255113251,33.46438976267028,hors
1.0,5.0,4.6185688757570835,1.7904876589171002,31.891334605146675,32.936500685266275,hors
1.0,6.0,4.576768655634986,1.76502002813056,32.35519170173573,33.54037095790681,hors
2.0,2.0,4.714037294019262,1.8847403977469137,30.835738579555112,31.2994911617281,hors
2.0,3.0,4.752680688771256,1.8518312525665426,30.735217333678793,31.25185784464494,hors
2.0,4.0,4.540695633802926,1.8161184396858494,32.33110255113251,33.46438976267028,hors
2.0,5.0,4.6185688757570835,1.7904876589171002,31.891334605146675,32.936500685266275,hors
2.0,6.0,4.576768655634986,1.76502002813056,32.35519170173573,33.54037095790681,hors
3.0,2.0,4.714037294019262,1.542930304882851,30.835738579555112,31.2994911617281,hors
3.0,3.0,4.752680688771256,1.5261795677632493,30.735217333678793,31.25185784464494,hors
3.0,4.0,4.540695633802926,1.5087499752514533,32.33110255113251,33.46438976267028,hors
3.0,5.0,4.6185688757570835,1.4959652110911086,31.891334605146675,32.936500685266275,hors
3.0,6.0,4.576768655634986,1.4830522708203722,32.35519170173573,33.54037095790681,hors
4.0,2.0,4.714037294019262,1.542930304882851,30.835738579555112,31.2994911617281,hors
4.0,3.0,4.752680688771256,1.5261795677632493,30.735217333678793,31.25185784464494,hors
4.0,4.0,4.540695633802926,1.5087499752514533,32.33110255113251,33.46438976267028,hors
4.0,5.0,4.6185688757570835,1.4959652110911086,31.891334605146675,32.936500685266275,hors
4.0,6.0,4.576768655634986,1.4830522708203722,32.35519170173573,33.54037095790681,hors
6.0,2.0,4.029263475024661,1.3391864373388238,35.93394091681887,37.57391809187747,hors
6.0,3.0,3.981155485318248,1.331634705909773,36.3312335859561,38.17143530446393,hors
6.0,4.0,3.9425709845266366,1.324042446118554,36.579306432010235,38.67147830616177,hors
6.0,5.0,3.9430326323788507,1.317142251765172,36.69136105106118,38.785328493347656,hors
6.0,6.0,3.899943891136796,1.3117878712487583,36.96991628460374,39.290490056506286,hors
